submission_pk,User,SUBTASK 1 Accuracy,SUBTASK 2 F1 Macro-average,SUBTASK 3 F1 Macro-average
575872,zhangdashuai,- (-),,,
575937,m.satlawa,- (-),,,
575635,nlp_stuff,- (-),,,
574917,juaeKim,- (-),,,
575559,septboy,- (-),,,
575177,GIL-UNAM,- (-),,,
575562,zhanglonghui,- (-),,,
576236,davletov-aa,- (-),,,
575566,neuysj,- (-),,,
575280,Cheoneum,- (-),,,
569598,andrei.avram,- (-),,,
575923,caspa,- (-),,,
576213,ashatilov,- (-),,,
569687,unixlong,- (-),,,
571327,lll_2020,- (-),,,
568065,king001,- (-),,,
571229,ewrfcas,- (-),,,
575966,forever_kb,- (-),,,
575711,zhangjie001,- (-),,,
