submission_pk,User,Precision,Recall,F1_Score
1086187,flerynn,0.6722 (1),0.3817 (52),0.4869 (47),
1082071,lnb,0.6630 (2),0.5773 (25),0.6172 (13),
1087565,hangchaoma,0.6591 (3),0.3659 (55),0.4706 (49),
1087577,hudou,0.6460 (4),0.6562 (13),0.6510 (1),
1088094,darhst,0.6423 (5),0.5268 (33),0.5789 (19),
1073594,Waad,0.6404 (6),0.1798 (61),0.2808 (70),
1083429,fengxing11111,0.6378 (7),0.3943 (50),0.4873 (46),
1088109,ymf924,0.6361 (8),0.6562 (13),0.6460 (3),
1085960,blingbling,0.6354 (9),0.5552 (28),0.5926 (15),
1087579,pallidlight,0.6328 (10),0.6688 (9),0.6503 (2),
1087757,cnxup,0.6269 (11),0.6467 (15),0.6366 (7),
1087954,stce,0.6183 (12),0.6593 (12),0.6382 (5),
1085876,PINGAN_Omini-Sinitic,0.6177 (13),0.6372 (17),0.6273 (10),
1078686,Wanderer,0.6147 (14),0.4479 (45),0.5182 (37),
1086027,Lujunyu007,0.6127 (15),0.5489 (30),0.5790 (18),
1073336,sirwe.saeedi,0.6122 (16),0.5678 (26),0.5892 (17),
1087346,guonihe,0.6121 (17),0.6719 (8),0.6406 (4),
1080922,I2C-UHU,0.6111 (18),0.3123 (58),0.4134 (58),
1087643,KushagriT,0.6070 (19),0.4921 (39),0.5436 (30),
1087752,holdon,0.6028 (20),0.6751 (7),0.6369 (6),
1087842,saroyehun,0.6021 (21),0.5489 (30),0.5743 (21),
1086327,valuable,0.6006 (22),0.6404 (16),0.6198 (12),
1084372,sapphire76,0.5935 (23),0.4606 (44),0.5187 (36),
1087514,csecudsg,0.5904 (24),0.4637 (43),0.5194 (35),
1087840,abcxyzw,0.5881 (25),0.6845 (6),0.6327 (8),
1086651,robvanderg,0.5876 (26),0.3281 (57),0.4211 (57),
1087867,nowcoder1234,0.5818 (27),0.6845 (6),0.6290 (9),
1084634,tosin,0.5801 (28),0.5142 (36),0.5452 (28),
1087357,rossqiu,0.5714 (29),0.6940 (5),0.6268 (11),
1082719,matejklemen,0.5636 (30),0.5868 (22),0.5750 (20),
1088464,abdelkader,0.5523 (31),0.5331 (32),0.5425 (31),
1085396,Naba,0.5502 (32),0.3975 (49),0.4615 (51),
1083056,baiyang2581,0.5481 (33),0.5394 (31),0.5437 (29),
1084037,amsqr,0.5476 (34),0.5994 (20),0.5723 (22),
1082841,thetundraman,0.5432 (35),0.5552 (28),0.5491 (26),
1088052,sua,0.5404 (36),0.4858 (40),0.5116 (40),
1079739,Taygete,0.5357 (37),0.6625 (11),0.5924 (16),
1074287,fanxiaoxing,0.5348 (38),0.7035 (4),0.6076 (14),
