submission_pk,User,rank,parsing_mIoU,human_mAP,inst_part_mAP
764594,Tencent_YouTu_Lab,71.10 (1),65.69 (1),88.47 (2),59.15 (2),
619968,soeaver,70.53 (2),62.67 (2),89.59 (1),59.34 (1),
628791,PAT_CV_HUMAN,67.02 (3),60.58 (3),84.93 (3),55.56 (3),
626354,keetsky,66.69 (4),60.17 (4),84.71 (4),55.19 (4),
621847,TIAN_Xiao,64.10 (5),58.23 (5),81.07 (5),53.00 (5),
620783,AllenYLJiang_codalab,40.72 (6),37.91 (6),60.15 (6),24.08 (7),
605697,acdart,40.72 (6),37.91 (6),60.15 (6),24.08 (7),
617785,neptuneai,40.67 (7),37.91 (6),60.02 (7),24.08 (6),
