submission_pk,User,Accuracy
512432,PartTimeTeam,-58.7109 (1),
512441,AFR,-60.6581 (2),
512462,serendipity,-60.8406 (3),
512440,Rated-E,-61.0061 (4),
512426,Nyquist,-61.4043 (5),
512471,Delu,-61.6675 (6),
512472,PHEY,-63.8402 (7),
512434,crocco,-64.3173 (8),
512420,UniUrboss,-64.5352 (9),
512451,MartinaC,-64.8885 (10),
512418,FedeOx,-64.9884 (11),
512459,albi_pagno,-65.7063 (12),
512422,SpaceMonkeys,-65.7993 (13),
512437,Marcello,-65.9450 (14),
512421,Bazinga,-65.9624 (15),
512453,TheStonks,-68.7761 (16),
512456,SPM,-73.2216 (17),
512436,Johnn,-89.6297 (18),
512435,prisca-magadjou,-89.7769 (19),
512443,stocastico,-356.7033 (20),
