submission_pk,User,mMOTA,mMOTP,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
621799,suntinger,25.10 (3),83.94 (4),9796.00 (5),1397.00 (3),90.00 (3),37.00 (5),237.00 (5),70.00 (5),
621729,bdd100k,18.69 (4),84.77 (3),7625.00 (1),4547.00 (5),76.00 (1),69.00 (1),174.00 (2),101.00 (2),
622878,zhaoxingjie,16.44 (5),83.52 (5),8837.00 (4),3619.00 (4),131.00 (4),48.00 (4),207.00 (4),89.00 (4),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632747,DeepBlueAI,31.55 (1),88.73 (1),32433.00 (4),1177.00 (1),176.00 (2),161.00 (2),798.00 (3),331.00 (4),
632888,madamada,30.22 (2),86.25 (2),30225.00 (1),3423.00 (2),796.00 (5),166.00 (1),635.00 (1),489.00 (1),
621729,bdd100k,20.55 (3),83.68 (3),30447.00 (2),8606.00 (4),165.00 (1),157.00 (3),730.00 (2),403.00 (2),
621799,suntinger,15.72 (4),81.59 (4),36999.00 (5),4328.00 (3),275.00 (3),77.00 (5),984.00 (5),229.00 (5),
622878,zhaoxingjie,9.88 (5),80.93 (5),32382.00 (3),11590.00 (5),512.00 (4),116.00 (4),834.00 (4),340.00 (3),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632747,DeepBlueAI,0.00 (1),NaN (2),503.00 (2),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
632888,madamada,0.00 (1),NaN (2),503.00 (2),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
621799,suntinger,0.00 (1),NaN (2),503.00 (2),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
621729,bdd100k,0.00 (1),NaN (2),503.00 (2),0.00 (1),0.00 (1),0.00 (1),11.00 (1),0.00 (1),
622878,zhaoxingjie,-8.55 (2),64.06 (1),500.00 (1),45.00 (2),1.00 (2),0.00 (1),11.00 (1),0.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632888,madamada,30.81 (1),78.06 (1),2281.00 (1),293.00 (3),65.00 (5),26.00 (1),93.00 (1),89.00 (1),
632747,DeepBlueAI,24.41 (2),77.22 (2),2850.00 (3),30.00 (2),3.00 (1),13.00 (3),165.00 (3),30.00 (3),
621729,bdd100k,19.01 (3),74.70 (3),2667.00 (2),404.00 (4),18.00 (4),15.00 (2),133.00 (2),60.00 (2),
621799,suntinger,6.27 (4),72.73 (5),3555.00 (5),10.00 (1),10.00 (2),1.00 (4),196.00 (5),11.00 (5),
622878,zhaoxingjie,-2.75 (5),72.80 (4),3476.00 (4),430.00 (5),13.00 (3),0.00 (5),193.00 (4),15.00 (4),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632888,madamada,27.42 (1),76.44 (2),4917.00 (1),766.00 (3),183.00 (5),94.00 (1),198.00 (1),189.00 (1),
632747,DeepBlueAI,25.65 (2),78.20 (1),5574.00 (3),401.00 (1),34.00 (1),47.00 (3),353.00 (3),81.00 (3),
621729,bdd100k,18.09 (3),73.97 (3),5307.00 (2),1249.00 (4),64.00 (4),62.00 (2),262.00 (2),157.00 (2),
621799,suntinger,0.11 (4),71.27 (5),7419.00 (5),617.00 (2),37.00 (2),7.00 (5),451.00 (5),23.00 (5),
622878,zhaoxingjie,-9.91 (5),73.80 (4),7157.00 (4),1680.00 (5),46.00 (3),9.00 (4),433.00 (4),39.00 (4),
