submission_pk,User,Score
936441,fangwudi,0.576921 (1),
929086,zhao_THU,0.436615 (2),
963069,Sheldong,0.369630 (3),
906463,yiliu,0.313117 (4),
962859,haifwu,0.312572 (5),
937141,runzeer910922,0.298987 (6),
949603,scc1997,0.092976 (7),
949605,hubincsu,0.088338 (8),
948976,LL579,0.010452 (9),
