submission_pk,User,min t-DCF,EER
929007,Anonymous,0.1815 (1),0.89 (1),
928948,Anonymous,0.2086 (2),2.03 (2),
929034,Anonymous,0.2115 (3),2.61 (4),
928249,Anonymous,0.2137 (4),2.39 (3),
929118,Anonymous,0.2174 (5),2.69 (5),
928940,Anonymous,0.2358 (6),3.22 (7),
926473,Anonymous,0.2371 (7),4.54 (11),
928776,Anonymous,0.2373 (8),3.69 (8),
928799,Anonymous,0.2426 (9),4.34 (10),
928938,Anonymous,0.2435 (10),3.11 (6),
928972,Anonymous,0.2528 (11),5.26 (12),
928665,Anonymous,0.2556 (12),5.90 (15),
926371,Anonymous,0.2556 (12),4.22 (9),
926972,Anonymous,0.2792 (13),7.87 (24),
918743,Anonymous,0.2861 (14),7.64 (22),
928482,Anonymous,0.2888 (15),5.54 (13),
928850,Anonymous,0.2941 (16),6.98 (18),
920817,Anonymous,0.2954 (17),5.79 (14),
929019,Anonymous,0.2998 (18),7.58 (21),
927529,Anonymous,0.3029 (19),7.88 (25),
913086,Anonymous,0.3046 (20),9.14 (28),
911214,Anonymous,0.3057 (21),7.46 (19),
929121,Anonymous,0.3108 (22),10.85 (30),
907572,Anonymous,0.3152 (23),8.90 (26),
899904,Anonymous,0.3152 (23),8.90 (26),
928981,Anonymous,0.3187 (24),7.47 (20),
905820,Anonymous,0.3374 (25),6.38 (16),
929025,Anonymous,0.3379 (26),7.76 (23),
918330,Anonymous,0.3450 (27),6.92 (17),
928683,Anonymous,0.3460 (28),10.85 (30),
929024,Anonymous,0.3475 (29),9.07 (27),
928661,Anonymous,0.3583 (30),11.74 (32),
923786,Anonymous,0.3688 (31),13.25 (34),
928090,Anonymous,0.3848 (32),11.41 (31),
926273,Anonymous,0.3871 (33),10.85 (30),
906368,Anonymous,0.4001 (34),12.05 (33),
900602,Anonymous,0.4152 (35),9.49 (29),
911005,Anonymous,0.4556 (36),15.09 (35),
899968,Anonymous,0.4948 (37),15.80 (36),
918895,Anonymous,0.5697 (38),17.47 (37),
899976,Anonymous,0.5836 (39),21.13 (39),
904623,Anonymous,0.6603 (40),17.66 (38),
928503,Anonymous,0.6893 (41),27.63 (44),
919942,Anonymous,0.6900 (42),26.26 (43),
928673,Anonymous,0.6950 (43),25.40 (42),
920051,Anonymous,0.7442 (44),22.49 (40),
926584,Anonymous,0.7443 (45),24.40 (41),
924125,Anonymous,0.7852 (46),36.32 (48),
926385,Anonymous,0.8832 (47),27.68 (45),
928746,Anonymous,0.9492 (48),36.28 (47),
921964,Anonymous,0.9992 (49),48.67 (49),
914919,Anonymous,0.9997 (50),29.59 (46),
903825,Anonymous,1.0000 (51),85.33 (50),
928871,Anonymous,1.0000 (51),92.66 (51),
