submission_pk,User,Few Shot Classes (%),Few Shot Classes (%),Few Shot Classes (%),Many Shot Classes (%),Many Shot Classes (%),Many Shot Classes (%),All Classes (%),All Classes (%),All Classes (%)
,IoU > 0.05,IoU > 0.5,IoU > 0.75,IoU > 0.05,IoU > 0.5,IoU > 0.75,IoU > 0.05,IoU > 0.5,IoU > 0.75
625838,killerchef,14.32 (2),15.60 (2),15.36 (1),,,,,,,,,,
620765,gongtao,6.64 (7),9.71 (9),9.13 (7),,,,,,,,,,
625229,kide,14.55 (1),15.38 (3),15.23 (2),,,,,,,,,,
592382,gb7,8.22 (4),15.61 (1),14.22 (3),,,,,,,,,,
616888,cvg_uni_bonn,7.89 (5),12.46 (4),11.60 (4),,,,,,,,,,
620482,VCL-ITI,5.00 (8),9.79 (8),8.89 (8),,,,,,,,,,
480716,hazeldoughty,2.75 (10),9.82 (7),8.49 (9),,,,,,,,,,
717548,JohnYoon,9.09 (3),10.59 (6),10.31 (6),,,,,,,,,,
1117977,rama_k,7.24 (6),11.17 (5),10.43 (5),,,,,,,,,,
606529,Jokerwine,3.22 (9),5.36 (10),4.96 (10),,,,,,,,,,
591072,regist_usage_co,0.66 (11),1.75 (11),1.54 (11),,,,,,,,,,
495660,ryosism,0.00 (12),0.86 (12),0.70 (12),,,,,,,,,,
submission_pk,User,Few Shot Classes (%),Few Shot Classes (%),Few Shot Classes (%),Many Shot Classes (%),Many Shot Classes (%),Many Shot Classes (%),All Classes (%),All Classes (%),All Classes (%)
,IoU > 0.05,IoU > 0.5,IoU > 0.75,IoU > 0.05,IoU > 0.5,IoU > 0.75,IoU > 0.05,IoU > 0.5,IoU > 0.75
592382,gb7,2.88 (8),16.24 (1),14.88 (1),,,,,,,,,,
625838,killerchef,8.09 (1),13.00 (3),12.50 (3),,,,,,,,,,
625229,kide,7.33 (4),14.29 (2),13.58 (2),,,,,,,,,,
620765,gongtao,7.78 (3),8.75 (6),8.65 (5),,,,,,,,,,
616888,cvg_uni_bonn,7.81 (2),11.41 (4),11.04 (4),,,,,,,,,,
620482,VCL-ITI,4.07 (6),9.16 (5),8.64 (6),,,,,,,,,,
480716,hazeldoughty,2.41 (9),8.49 (7),7.87 (7),,,,,,,,,,
717548,JohnYoon,4.40 (5),7.39 (8),7.09 (8),,,,,,,,,,
1117977,rama_k,2.33 (10),6.91 (9),6.45 (9),,,,,,,,,,
606529,Jokerwine,3.93 (7),2.17 (10),2.35 (10),,,,,,,,,,
591072,regist_usage_co,0.01 (11),1.63 (11),1.47 (11),,,,,,,,,,
495660,ryosism,0.00 (12),0.59 (12),0.53 (12),,,,,,,,,,
