submission_pk,User,PSNR,SSIM,Runtime per image,CPU[0] / GPU[1],Traditional[0] / Deep[1]
646699,Anonymous,33.8 (1),1.0 (1),16.1 (3),1.0 (1),1.0 (1),
646156,Anonymous,33.7 (2),1.0 (2),14.0 (4),1.0 (1),1.0 (1),
647429,Anonymous,33.6 (3),1.0 (4),0.0 (6),0.0 (2),1.0 (1),
646236,Anonymous,33.4 (4),1.0 (3),101.0 (1),1.0 (1),1.0 (1),
615776,Anonymous,31.8 (5),1.0 (6),0.0 (6),0.0 (2),1.0 (1),
639967,Anonymous,31.4 (6),1.0 (5),0.0 (6),0.0 (2),1.0 (1),
641224,Anonymous,30.9 (7),0.9 (7),0.0 (6),0.0 (2),1.0 (1),
646510,Anonymous,30.7 (8),0.9 (12),0.0 (6),1.0 (1),1.0 (1),
634257,Anonymous,30.4 (9),0.9 (16),0.0 (6),0.0 (2),1.0 (1),
629192,Anonymous,30.1 (10),0.9 (14),0.0 (6),0.0 (2),0.0 (2),
628737,Anonymous,30.1 (10),0.9 (14),0.0 (6),0.0 (2),0.0 (2),
626614,Anonymous,30.1 (11),0.9 (8),0.0 (6),0.0 (2),0.0 (2),
637805,Anonymous,29.4 (12),0.9 (10),0.0 (6),0.0 (2),1.0 (1),
625139,Anonymous,28.9 (13),0.9 (11),0.0 (6),1.0 (1),1.0 (1),
620733,Anonymous,28.8 (14),0.9 (9),0.0 (6),0.0 (2),0.0 (2),
623685,Anonymous,28.1 (15),0.9 (13),1.0 (5),0.0 (2),1.0 (1),
624100,Anonymous,27.9 (16),0.9 (15),0.0 (6),1.0 (1),1.0 (1),
633359,Anonymous,26.6 (17),0.9 (17),0.0 (6),0.0 (2),0.0 (2),
636751,Anonymous,25.5 (18),0.9 (19),0.0 (6),0.0 (2),1.0 (1),
644130,Anonymous,24.9 (19),0.9 (20),17.5 (2),1.0 (1),1.0 (1),
646827,Anonymous,24.6 (20),0.9 (18),0.0 (6),0.0 (2),1.0 (1),
644607,Anonymous,20.7 (21),0.8 (21),0.0 (6),0.0 (2),1.0 (1),
620471,Anonymous,18.2 (22),0.7 (22),0.0 (6),0.0 (2),1.0 (1),
