submission_pk,User,Accuracy
867327,vvshu,87.6600 (1),
867518,NEEEK,87.6080 (2),
862698,gusenica,87.5840 (3),
867563,player42,87.3480 (4),
865118,underdog,87.2240 (5),
868940,ekovtun,86.8920 (6),
868264,Daniil_Moskovskiy,86.8040 (7),
867446,timotei.ardelean,86.6920 (8),
867780,Allessyer,86.5960 (9),
873069,ag3r,86.1240 (10),
867526,andreead,86.1240 (10),
867539,Artem_Vazhentsev,86.0680 (11),
896247,matveymor,85.0760 (12),
868514,annakey,85.0760 (12),
867630,mariya,84.9640 (13),
868444,dkorzh10,84.6960 (14),
895145,eplumite,84.4240 (15),
868279,daleshch,84.2520 (16),
869006,truepg,82.1160 (17),
868836,queen_s0,81.6000 (18),
866247,Glebzok,81.5840 (19),
868999,eugeneavd,79.9200 (20),
867661,gabriel_r,76.8720 (21),
868282,maxs_kan,76.2680 (22),
866720,ruslan_alive,75.3200 (23),
893225,A_a,72.6640 (24),
867428,kmisterios,72.3800 (25),
862478,palette_knife25,70.2200 (26),
850285,lilaspourpre,50.2600 (27),
