submission_pk,User,F1,Precision,Recall
558227,tass18-task3,0.422 (1),0.477 (1),0.378 (1),
submission_pk,User,F1,Precision,Recall
558227,tass18-task3,0.577 (1),0.520 (1),0.648 (1),
submission_pk,User,F1,Precision,Recall
558227,tass18-task3,0.153 (1),0.540 (1),0.089 (1),
submission_pk,User,F1,Precision,Recall
558227,tass18-task3,0.000 (1),0.000 (1),0.000 (1),
