submission_pk,User,MAP,AvgRec,MRR
385492,TitasNandi,0.380 (1),0.468 (1),39.967 (1),
380384,DorisHoogeveen,0.306 (2),0.346 (2),35.972 (2),
383040,preslav,0.138 (3),0.096 (3),16.002 (3),
