submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
134161,aad_freiburg,1.80 (1),0.8961 (1),0.9145 (3),0.9795 (1),0.5108 (2),0.7337 (2),5.03 (6),
133591,djajetic,2.00 (2),0.8034 (2),0.8987 (4),0.9767 (2),0.5491 (1),0.7524 (1),1.01 (13),
133021,ideal.intel.analytics,3.80 (3),0.7529 (3),0.9191 (2),0.9654 (4),0.4378 (5),0.7030 (5),2.03 (9),
133911,asml.intel.com,4.00 (4),0.7442 (4),0.9199 (1),0.8679 (5),0.4284 (6),0.7073 (4),2.01 (12),
134441,postech.mlg_exbrain,5.60 (5),0.7039 (5),0.8384 (6),0.7255 (11),0.4912 (3),0.7288 (3),1.01 (14),
133571,tadej,7.00 (6),0.6959 (6),0.8815 (5),0.7755 (6),0.3568 (12),0.6368 (6),3524.54 (5),
122181,mlandry,8.40 (7),0.6777 (7),0.3097 (10),0.7432 (10),0.4473 (4),0.6180 (11),2.02 (10),
133341,marc.boulle,8.60 (8),0.6231 (14),0.8030 (7),0.9663 (3),0.4084 (7),0.5593 (12),3.03 (8),
129531,jongheonj,9.00 (9),0.6449 (10),0.3097 (10),0.7556 (8),0.3992 (10),0.6184 (7),3895.42 (2),
129561,narnars0,9.60 (10),0.6449 (11),0.3097 (10),0.7556 (8),0.3990 (11),0.6183 (8),4029.41 (1),
127161,henry,10.00 (11),0.6456 (8),0.4626 (9),0.7558 (7),0.3533 (13),0.5340 (13),2.01 (11),
130841,ErrorNaik,10.00 (11),0.6446 (12),0.3097 (10),0.7432 (10),0.3993 (9),0.6183 (9),3832.01 (3),
131931,reference,10.20 (12),0.6454 (9),0.4880 (8),0.0134 (12),0.4052 (8),-0.0090 (14),3.03 (7),
134241,automl.chalearn,10.20 (12),0.6446 (13),0.3097 (10),0.7532 (9),0.3993 (9),0.6183 (10),3752.94 (4),
