submission_pk,User,Mean Average Precision
906530,ZiyuanHuang,0.4429 (1),
907630,suhaisheng,0.3991 (2),
906358,Yuhong,0.3987 (3),
906959,DeepakSridhar,0.3590 (4),
906290,YaonaHuang,0.3571 (5),
907816,VRLonFire,0.3374 (6),
905445,jiangbop,0.2461 (7),
903756,Samarjeet527,0.2290 (8),
900852,Singularity213,0.0000 (9),
900843,DeepBlueAI,0.0000 (9),
