submission_pk,User,Mssim,Mrmse,ssim,rmse
1042923,cpmolnar,0.829868 (1),0.908059 (1),0.829868 (1),0.908059 (1),
987680,humbi,0.812742 (3),0.903305 (2),0.812742 (3),0.903305 (2),
1044219,ejmccalla,0.813914 (2),0.894696 (3),0.813914 (2),0.894696 (3),
1126550,csci-5561-fungi,0.757643 (4),0.851820 (4),0.757643 (4),0.851820 (4),
1042605,botch025,0.630372 (5),0.825861 (5),0.630372 (5),0.825861 (5),
1042606,thanasisbach,0.090831 (9),0.645680 (6),0.090831 (9),0.645680 (6),
1041823,huacailong123,0.185369 (6),0.622450 (7),0.185369 (6),0.622450 (7),
1013878,anushl9o5,0.175174 (7),0.606985 (8),0.175174 (7),0.606985 (8),
1044372,csci5561-21f-Team9,0.165194 (8),0.596485 (9),0.165194 (8),0.596485 (9),
