submission_pk,User,Score (C/D),ExecutionTime
860104,BokingChen,0.9425 (1),438.00 (25),
859419,jerryHUST,0.9401 (2),144.00 (6),
859856,lowtec,0.9152 (3),286.00 (18),
860197,Format,0.8825 (4),370.00 (22),
860136,lst174523,0.7795 (5),242.00 (13),
857637,DFGC_SYSU,0.7020 (6),403.00 (24),
859630,rocosbasilisk,0.6850 (7),342.00 (21),
860167,yzx835,0.6765 (8),523.00 (26),
859163,yangquanwei,0.6728 (9),273.00 (17),
859855,flaber,0.6530 (10),398.00 (23),
856134,jiashangplus,0.6339 (11),133.00 (5),
859408,wany,0.6154 (12),210.00 (11),
860235,borutb,0.6127 (13),559.00 (27),
856053,yanliang,0.6035 (14),324.00 (19),
856396,chenqm,0.5878 (15),125.00 (3),
857452,Tinyrosy0822,0.5872 (16),268.00 (16),
855441,zhushiwei,0.5810 (17),128.00 (4),
859839,cyx,0.5806 (18),240.00 (12),
858322,lzhhhhh,0.5748 (19),128.00 (4),
854425,Iverson,0.5637 (20),246.00 (14),
857507,menglaijin,0.5637 (21),179.00 (10),
856576,pwb,0.5480 (22),147.00 (7),
855941,meles-may,0.5441 (23),178.00 (9),
856817,Mr.Hey,0.5348 (24),326.00 (20),
859260,zhaoxiaohui,0.5000 (25),114.00 (1),
855533,mapLeNet,0.4957 (26),124.00 (2),
856308,SJTU-H,0.4741 (27),262.00 (15),
854907,organizer_baseline,0.4253 (28),174.00 (8),
