submission_pk,User,SUBTASK 1 Accuracy,SUBTASK 2 F1 Macro-average,SUBTASK 3 F1 Macro-average
561152,marchbnr,- (-),,,
561856,guo222,- (-),,,
563204,nlp_stuff,- (-),,,
556421,bigwhitepear,- (-),,,
563078,MagicJohnson,- (-),,,
563719,yejingyi,- (-),,,
563340,yunfeng4,- (-),,,
559629,neuysj,- (-),,,
558479,zhanghh2020,- (-),,,
563630,septboy,- (-),,,
558881,happyyujia,- (-),,,
563364,KerenzaDoxolodeo,- (-),,,
557478,mukesh_1696,- (-),,,
563501,caspianR,- (-),,,
563758,rupsajina,- (-),,,
560946,ai_not_intellegent,- (-),,,
561246,iman_saleh,- (-),,,
556470,zhaoxf4,- (-),,,
563641,davletov-aa,- (-),,,
563131,mler,- (-),,,
557808,aadarshsingh191198,- (-),,,
562878,GIL-UNAM,- (-),,,
557092,S.L.Liu,- (-),,,
562240,yjhappy,- (-),,,
563778,gulshan73,- (-),,,
560459,mkannan,- (-),,,
563489,nizhikebinesi,- (-),,,
563656,tharindu,- (-),,,
562890,furkancoskun,- (-),,,
562763,caspa,- (-),,,
562658,Zawawy,- (-),,,
562105,junelady,- (-),,,
556498,andrei.avram,- (-),,,
563796,yyyang,- (-),,,
563797,zhangdashuai,- (-),,,
563542,ashatilov,- (-),,,
563001,Hasaki,- (-),,,
557784,tangmen,- (-),,,
563801,deftpunk,- (-),,,
562908,zhangjie001,- (-),,,
562682,dpc,- (-),,,
562654,m.satlawa,- (-),,,
563810,Honda,- (-),,,
563683,unixlong,- (-),,,
563687,mahmoudsalim,- (-),,,
563819,wamgnowem,- (-),,,
559610,math11,- (-),,,
563825,nibollocksnode,- (-),,,
560627,Haemanth,- (-),,,
556916,AMR-KELEG,- (-),,,
563830,juaeKim,- (-),,,
563831,kobe4ever,- (-),,,
562132,forever_kb,- (-),,,
563834,plumaj,- (-),,,
563068,lll_2020,- (-),,,
562581,ewrfcas,- (-),,,
