submission_pk,User,Moderate mAP,Easy mAP,Hard mAP
918252,tanmay2703,82.83 (1),86.92 (3),76.28 (1),
917227,yifei.liu,81.95 (2),87.68 (1),76.18 (2),
915582,aelias,80.18 (3),82.25 (17),73.97 (6),
918568,kexshi,76.27 (4),84.17 (9),73.75 (7),
912729,oigele,75.86 (5),85.28 (6),74.69 (3),
918607,deuber,75.86 (6),87.07 (2),73.22 (9),
918553,martintschechne,75.59 (7),86.68 (4),74.03 (5),
918696,Alanwolf,75.54 (8),84.88 (7),74.59 (4),
919769,lechen,75.31 (9),86.06 (5),73.25 (8),
918988,Waddles,74.14 (10),83.41 (12),72.70 (11),
921970,wboettcher_eth,73.92 (11),84.62 (8),72.74 (10),
919147,corkillj,73.83 (12),83.65 (11),66.98 (32),
921823,felixcra,73.78 (13),84.13 (10),72.39 (13),
915370,lineo_jcd,73.73 (14),80.71 (24),66.34 (34),
922555,pitehu,73.52 (15),83.40 (13),72.47 (12),
915341,samjain,73.04 (16),83.21 (14),66.59 (33),
921832,kashen,73.00 (17),82.88 (15),71.75 (18),
916940,buehrern,72.80 (18),79.23 (28),72.07 (16),
917092,ArDiSc,72.78 (19),82.08 (18),71.94 (17),
922570,dbolli,72.74 (20),81.89 (19),72.23 (15),
922542,djec,72.69 (21),78.39 (30),72.35 (14),
922501,shimmi,72.53 (22),81.03 (23),65.79 (35),
919990,nicloi,72.43 (23),79.17 (29),71.34 (21),
888832,lhoyer,72.35 (24),81.34 (21),71.11 (23),
920265,shaozhang,72.08 (25),78.20 (31),71.41 (19),
920251,e-sempertegui,72.08 (25),78.20 (31),71.41 (19),
919126,fabiange,72.05 (26),81.55 (20),65.28 (36),
916134,zhasun,71.99 (27),82.27 (16),70.78 (24),
922566,rajatthakur,71.95 (28),77.86 (33),71.35 (20),
919281,maschmidt,71.85 (29),81.30 (22),71.11 (22),
921308,gerni17,71.10 (30),80.10 (26),70.75 (25),
922580,zsheebael,70.76 (31),79.95 (27),70.38 (26),
919949,kevinta,70.74 (32),77.87 (32),69.86 (28),
922346,vramasamy,70.58 (33),74.93 (36),69.90 (27),
919353,colincqian,70.35 (34),77.58 (34),64.26 (39),
922687,mkannwisc,70.14 (35),80.62 (25),64.40 (38),
921228,lys_ethz,69.97 (36),74.04 (38),64.56 (37),
917586,wu5tianyu,69.30 (37),74.40 (37),63.72 (40),
919926,Sylvain,68.50 (38),72.23 (39),68.95 (30),
919335,fanconic,68.50 (38),72.23 (39),68.95 (30),
922217,doertle,68.24 (39),70.93 (40),68.46 (31),
922822,lnumerow,67.96 (40),76.86 (35),63.29 (41),
919886,shimmi,66.95 (41),67.50 (41),69.13 (29),
