submission_pk,User,Rank,MPJPE,MPJPE_PA,PCK,AUC,MPJAE,MPJAE_PA
1034955,isarandi,1.0000 (1),61.6559 (1),43.4421 (1),53.4276 (1),0.7009 (1),- (10),- (10),
855817,cheungbh,3.0000 (3),81.7903 (2),58.6255 (3),37.3321 (4),0.5991 (3),20.8199 (1),19.0935 (1),
1024347,asilla,2.2500 (2),85.4810 (3),54.8716 (2),48.0690 (2),0.6374 (2),- (10),- (10),
663401,mks0601,5.0000 (4),86.3566 (4),63.1444 (6),36.2311 (6),0.5908 (4),22.2005 (2),20.3347 (3),
663435,root9527,6.0000 (5),87.0182 (5),61.4503 (5),36.0264 (7),0.5888 (7),22.2413 (3),19.3888 (2),
663396,redarknight,6.0000 (5),87.8796 (6),64.2319 (7),36.4411 (5),0.5890 (6),24.2251 (5),21.3447 (5),
1145741,kongxianghan,7.5000 (7),90.6646 (7),59.6717 (4),32.7571 (10),0.5548 (9),- (10),- (10),
663407,zenluo,8.0000 (8),91.5124 (8),67.6933 (8),33.9416 (8),0.5655 (8),23.5770 (4),20.6931 (4),
673748,rbr,6.7500 (6),99.3749 (9),70.6901 (10),42.2714 (3),0.5901 (5),24.7535 (6),21.6879 (7),
662017,Arthursy,9.5000 (9),105.1437 (10),69.0822 (9),32.8166 (9),0.5418 (10),29.7256 (7),21.4392 (6),
1007809,zhlawliet,11.0000 (10),113.3704 (11),74.3216 (11),29.2970 (11),0.5189 (11),- (10),- (10),
655060,milo,12.0000 (11),123.8635 (12),77.7414 (12),26.8756 (12),0.4783 (12),34.3252 (8),23.3663 (8),
1104687,liguangquan,13.0000 (12),182.3490 (13),166.3897 (13),26.7847 (13),0.4512 (13),63.8599 (9),62.6834 (9),
931507,thancaocuong,14.0000 (13),1104.6904 (14),410.6315 (14),0.0000 (14),0.0000 (14),- (10),- (10),
