submission_pk,User,TEST AUC,TEST SENS.,TEST SPEC.,AVG. VAL AUC
979750,mynamenotdrew,87.18 (1),48.33 (1),95.13 (1),77.30 (8),
984479,qinchen13579,86.72 (2),40.00 (5),95.13 (1),80.05 (3),
987054,deepak242424,86.41 (3),45.00 (2),95.13 (1),78.39 (6),
973920,jharvill23,85.77 (4),41.67 (4),95.13 (1),78.68 (5),
985974,dicova,84.50 (5),31.67 (7),95.13 (1),77.25 (9),
986447,Ritwik2706,82.16 (6),41.67 (4),95.13 (1),80.67 (1),
981567,arbitrary,82.05 (7),41.67 (4),95.13 (1),80.63 (2),
975030,truonghoang,80.84 (8),40.00 (5),95.13 (1),73.00 (11),
984228,AICubes,80.55 (9),30.00 (8),95.13 (1),73.69 (10),
984559,EIHW-MTG,80.35 (10),36.67 (6),95.13 (1),78.78 (4),
987078,evaluation,78.05 (11),43.33 (3),95.13 (1),77.56 (7),
976060,I_SPY_AI,61.45 (12),16.67 (9),95.13 (1),60.59 (12),
986329,HARIKRISHNAN,50.58 (13),10.00 (10),91.97 (2),46.02 (13),
