submission_pk,User,F1,Accuracy,Precision,Recall
786772,mohamedgabr96,0.3403 (1),0.5342 (1),0.3785 (1),0.3295 (1),
767475,abdelkader,0.3085 (2),0.5190 (2),0.3383 (2),0.3143 (2),
787038,Aviad.rom,0.2525 (3),0.4212 (3),0.2671 (6),0.2454 (3),
778971,licvol,0.2301 (4),0.4150 (5),0.2688 (5),0.2204 (4),
777994,elsayedissa,0.2210 (5),0.4136 (6),0.3012 (3),0.2156 (5),
760542,Aicha.Zitouni,0.2185 (6),0.4178 (4),0.2880 (4),0.2081 (6),
759202,khaled,0.1862 (7),0.3470 (7),0.1913 (7),0.1988 (7),
