submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
444466,hyu_ss,21.90 (11),0.47 (10),0.97 (10),1.00 (1),0.00 (1),
444470,boe_sbg,21.79 (13),0.46 (13),0.17 (13),0.00 (2),0.00 (1),
444526,JSChoi,22.88 (3),0.51 (3),1.00 (9),0.00 (2),0.00 (1),
444464,kincon,21.77 (14),0.46 (14),4.82 (4),0.00 (2),0.00 (1),
445076,BMIPL_UNIST,21.79 (13),0.46 (13),1.56 (7),0.00 (2),0.00 (1),
444730,Hot_Milk,23.01 (2),0.52 (2),1.50 (8),0.00 (2),0.00 (1),
444952,cr2018,22.20 (7),0.48 (7),9.26 (2),0.00 (2),0.00 (1),
444462,yifita,22.85 (4),0.50 (4),3.40 (6),0.00 (2),0.00 (1),
444469,iim_lab,22.00 (10),0.47 (11),0.34 (11),0.00 (2),0.00 (1),
444651,cskzh,22.77 (5),0.50 (5),0.20 (12),0.00 (2),0.00 (1),
445532,LiuYijiao,22.01 (8),0.47 (8),6.12 (3),0.00 (2),0.00 (1),
444676,yyuan13,23.17 (1),0.53 (1),0.08 (14),0.00 (2),0.00 (1),
445557,enoch,22.49 (6),0.49 (6),3.50 (5),0.00 (2),0.00 (1),
445601,weideng,21.84 (12),0.46 (12),28.00 (1),0.00 (2),0.00 (1),
444468,NEU_SMILE_Lab,22.01 (9),0.47 (9),-1.00 (15),-1.00 (3),-1.00 (2),
