submission_pk,User,Avg. Rank,Face,Body,Hands
965344,germs,1.000000 (1),0.348100 (1),0.889700 (1),0.539200 (1),
949053,juliojj,1.333333 (2),0.345800 (2),0.889700 (1),0.539200 (1),
974813,rays2pix,2.000000 (3),0.345800 (2),0.882400 (2),0.517700 (2),
974521,tuyennguyen,3.000000 (4),0.204900 (3),0.850700 (3),0.316000 (3),
