submission_pk,User,score,EN,ET,HR,FI,SL
723110,dloureiro,0.787 (1),0.787 (1),0.0 (1),0.616 (2),0.360 (2),0.560 (3),
657504,Lily88,0.765 (2),0.765 (2),0.0 (1),0.000 (4),0.000 (3),0.000 (4),
603795,somaia,0.760 (3),0.760 (3),0.0 (1),0.000 (4),0.000 (3),0.000 (4),
606015,lucasrafaelc,0.711 (4),0.711 (4),0.0 (1),0.740 (1),0.726 (1),0.624 (1),
641925,bicici,-0.096 (5),-0.096 (5),0.0 (1),0.587 (3),0.000 (3),0.603 (2),
