submission_pk,User,top-1
485817,Nine_Six,0.2307 (1),
485751,wangzzzzbuaa,0.1618 (2),
484906,Nuanyang,0.1314 (3),
485652,Xiaojing,0.1275 (4),
485462,jokieleung,0.1095 (5),
485852,JonathanWang,0.0528 (6),
484929,wider,0.0341 (7),
485704,Bela_Ian_VILA,0.0010 (8),
