submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
838144,BillChen2k,- (-),,,,,
603777,rtdesetty,- (-),,,,,
681090,Qitong,- (-),,,,,
686723,Eric_YuMo,- (-),,,,,
847877,simonqin,- (-),,,,,
683400,this-is-Aaron,- (-),,,,,
683404,Faye-Wu,- (-),,,,,
687374,SparkersTroy,- (-),,,,,
586255,oyx,- (-),,,,,
687472,xiafanzeng,- (-),,,,,
653187,ChengyiZhao,- (-),,,,,
576533,uir,- (-),,,,,
683415,Rick1984,- (-),,,,,
683035,kilometer,- (-),,,,,
574339,Warren,- (-),,,,,
586918,Farah,- (-),,,,,
817313,ac920,- (-),,,,,
653222,RasalasJau,- (-),,,,,
683431,Bryce,- (-),,,,,
653483,Murphy-MIAOYuanzhi,- (-),,,,,
598256,sid.mahurkar,- (-),,,,,
657839,YuWang17,- (-),,,,,
683440,jerryzjy,- (-),,,,,
653489,Murphy-MIAO-YuanZhi,- (-),,,,,
683442,Gao123456,- (-),,,,,
686391,Trigger,- (-),,,,,
851001,snow2512,- (-),,,,,
576316,ttzhang,- (-),,,,,
687295,Michaelmatao,- (-),,,,,
659264,sgallon,- (-),,,,,
683459,Cassiel,- (-),,,,,
657425,nopeAAA,- (-),,,,,
683383,Klaus,- (-),,,,,
889297,skywal3r,- (-),,,,,
685326,ChenMeng,- (-),,,,,
817371,team_bhr,- (-),,,,,
687328,yizhiai1994,- (-),,,,,
646625,docekal,- (-),,,,,
681742,Babyyang525,- (-),,,,,
652454,ZiyangLin,- (-),,,,,
658919,jam,- (-),,,,,
570477,Ferryman,- (-),,,,,
659951,lorettaxux,- (-),,,,,
683504,zztxnh,- (-),,,,,
687474,Bryce-Yang-Li,- (-),,,,,
579318,heidy,- (-),,,,,
838263,William_yan,- (-),,,,,
651769,Snow_MingXueLiu,- (-),,,,,
687482,Ganmin-Wu,- (-),,,,,
655739,arunaav,- (-),,,,,
813308,jackmorrison,- (-),,,,,
submission_pk,User,Accuracy,Reward
586255,oyx,0.67237 (1),0.30015 (1),
889297,skywal3r,0.64498 (2),0.25784 (2),
576316,ttzhang,0.64384 (3),0.25076 (3),
657839,YuWang17,0.64307 (4),0.24650 (5),
646625,docekal,0.64041 (5),0.25038 (4),
687374,SparkersTroy,0.62861 (6),0.22869 (6),
586918,Farah,0.62633 (7),0.21438 (9),
687328,yizhiai1994,0.62595 (8),0.21948 (7),
683459,Cassiel,0.61986 (9),0.21553 (8),
653187,ChengyiZhao,0.60388 (10),0.18143 (11),
817313,ac920,0.60274 (11),0.18204 (10),
570477,Ferryman,0.60274 (11),0.17709 (12),
817371,team_bhr,0.58904 (12),0.15639 (13),
598256,sid.mahurkar,0.58714 (13),0.14186 (16),
813308,jackmorrison,0.58486 (14),0.15632 (14),
603777,rtdesetty,0.58029 (15),0.14323 (15),
653222,RasalasJau,0.57801 (16),0.13508 (17),
687295,Michaelmatao,0.56621 (17),0.10997 (18),
574339,Warren,0.55365 (18),0.09452 (19),
838144,BillChen2k,0.54300 (19),0.08744 (20),
681090,Qitong,0.54148 (20),0.07245 (22),
687474,Bryce-Yang-Li,0.53767 (21),0.07291 (21),
686723,Eric_YuMo,0.52283 (22),0.05244 (23),
851001,snow2512,0.51903 (23),0.04300 (24),
652454,ZiyangLin,0.51788 (24),0.01796 (32),
685326,ChenMeng,0.51332 (25),0.03219 (27),
651769,Snow_MingXueLiu,0.51104 (26),0.02002 (29),
683431,Bryce,0.51065 (27),0.03592 (26),
576533,uir,0.51027 (28),0.04132 (25),
653483,Murphy-MIAOYuanzhi,0.50989 (29),0.01986 (30),
687482,Ganmin-Wu,0.50951 (30),0.01956 (31),
659951,lorettaxux,0.50951 (30),0.01956 (31),
653489,Murphy-MIAO-YuanZhi,0.50951 (30),0.01956 (31),
683383,Klaus,0.50533 (31),0.01043 (33),
847877,simonqin,0.50266 (32),0.02062 (28),
687472,xiafanzeng,0.49962 (33),-0.00251 (36),
683404,Faye-Wu,0.49772 (34),-0.00046 (35),
686391,Trigger,0.49581 (35),0.00297 (34),
683035,kilometer,0.49049 (36),-0.01956 (39),
659264,sgallon,0.48896 (37),-0.01271 (37),
658919,jam,0.48478 (38),-0.02770 (40),
681742,Babyyang525,0.47907 (39),-0.01705 (38),
683442,Gao123456,0.47451 (40),-0.03486 (41),
655739,arunaav,0.45662 (41),-0.06629 (42),
838263,William_yan,0.43113 (42),-0.14878 (44),
579318,heidy,0.41971 (43),-0.09954 (43),
683440,jerryzjy,0.35769 (44),-0.19307 (45),
683400,this-is-Aaron,0.33942 (45),-0.20099 (46),
683415,Rick1984,0.33752 (46),-0.20860 (47),
657425,nopeAAA,0.15449 (47),-0.45015 (48),
683504,zztxnh,0.02511 (48),-0.62116 (49),
