submission_pk,User,MSE
1127903,TAL-JNU,161.9243 (1),
1127604,seeyou,164.7274 (2),
1128154,ybzUI,174.9354 (3),
1122751,buolo,191.0900 (4),
1127391,paulinahoyos,195.4870 (5),
1126745,SimpleMaker,195.9427 (6),
1120212,Huangtaoo,196.5220 (7),
1121119,zyfmeet,204.5640 (8),
1121110,rush_go1,212.3687 (9),
1121929,blblblbbl,212.5711 (10),
1125524,dubai03nsr,217.6357 (11),
1111385,WimCasteels,228.4268 (12),
1121351,naila,231.8466 (13),
1117784,Believe_In_Light,241.5975 (14),
1098682,liliangong,243.0788 (15),
1124663,shsun,243.5375 (16),
1121822,hacosta,244.1897 (17),
1102796,titimike,254.7554 (18),
1120872,kevinygao,276.9822 (19),
1117798,YunfeiZhang,277.9147 (20),
1127263,katiepell42,278.9813 (21),
1119665,HFUT-luorui,282.0435 (22),
1124626,princengoc,333.7335 (23),
1106600,skipper,980.7898 (24),
