submission_pk,User,BCELoss,ExecutionTime
717173,BokingChen,0.275199 (1),2799.047902 (6),
719163,Iverson,0.375520 (2),4014.442332 (14),
720960,HFUT,0.417945 (3),6998.520096 (22),
718252,jiashangplus,0.418366 (4),4611.329048 (16),
721303,Deepware,0.432000 (5),3621.354543 (10),
719141,musicbeer,0.452992 (6),3646.664850 (11),
715081,zz110,0.458916 (7),3674.821703 (12),
713541,HenryZhou,0.459439 (8),4827.225260 (17),
702442,viva,0.479040 (9),5239.973759 (19),
714771,yupeipeng,0.482700 (10),3686.347473 (13),
718569,miaotao,0.496263 (11),4337.248406 (15),
696967,caiyu,0.496426 (12),6073.628794 (21),
709973,Username_1,0.544317 (13),3522.965445 (9),
709971,zyzyzyzy,0.544317 (13),3522.965445 (9),
719405,dogankurt,0.562721 (14),3333.035279 (8),
689110,zsq714,0.568128 (15),5014.293645 (18),
713701,selim.onder,0.592080 (16),2242.641543 (5),
718254,mertcan.alici,0.612629 (17),1965.532367 (4),
707675,xrayz,0.647597 (18),3183.667768 (7),
702059,Anothorld,0.669158 (19),8665.152477 (24),
718272,hongshuo,0.693147 (20),404.390100 (1),
706413,SRomero,0.693147 (20),441.349223 (3),
692450,xstju,1.717717 (21),5559.098160 (20),
692896,kxzhang,5.381041 (22),7040.307544 (23),
716263,zkyezhang,17.269388 (23),417.747895 (2),
