submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
684008,BinghongWu,0.39 (32),0.58 (32),0.42 (34),0.52 (32),0.43 (32),0.21 (34),0.72 (28),0.33 (31),0.52 (31),0.55 (28),0.59 (32),0.33 (34),
647966,ZhaoKun-Xu,0.39 (32),0.60 (29),0.43 (31),0.51 (35),0.43 (34),0.23 (31),0.68 (34),0.32 (33),0.51 (32),0.53 (30),0.56 (35),0.34 (33),
509466,EnzoKai,0.39 (33),0.56 (36),0.41 (36),0.53 (31),0.41 (38),0.21 (36),0.74 (25),0.33 (32),0.53 (28),0.57 (23),0.62 (25),0.36 (28),
727965,stefano.blumberg,0.39 (34),0.60 (28),0.42 (33),0.50 (39),0.42 (36),0.23 (29),0.66 (38),0.31 (36),0.50 (33),0.52 (32),0.56 (36),0.33 (34),
917021,nobugs,0.38 (35),0.57 (34),0.41 (35),0.50 (37),0.42 (35),0.22 (33),0.72 (28),0.32 (34),0.52 (30),0.56 (26),0.61 (27),0.36 (31),
666730,revanth802,0.38 (36),0.54 (38),0.41 (36),0.56 (25),0.42 (37),0.18 (40),0.63 (40),0.31 (37),0.44 (41),0.44 (40),0.48 (44),0.21 (44),
666118,Kailashnath,0.38 (36),0.54 (38),0.41 (36),0.56 (25),0.42 (37),0.18 (40),0.63 (40),0.31 (37),0.44 (41),0.44 (40),0.48 (44),0.21 (44),
666109,revanth.k,0.38 (36),0.54 (38),0.41 (36),0.56 (25),0.42 (37),0.18 (40),0.63 (40),0.31 (37),0.44 (41),0.44 (40),0.48 (44),0.21 (44),
1120497,liudazhuang,0.38 (37),0.65 (18),0.40 (37),0.53 (30),0.43 (33),0.22 (32),0.69 (32),0.30 (40),0.49 (35),0.53 (31),0.58 (33),0.36 (32),
1046820,khashmi,0.38 (37),0.58 (33),0.41 (36),0.49 (40),0.41 (38),0.21 (35),0.66 (37),0.32 (35),0.50 (34),0.52 (33),0.56 (37),0.32 (36),
1059260,chansun,0.36 (38),0.56 (35),0.39 (38),0.53 (29),0.39 (39),0.18 (40),0.65 (39),0.31 (38),0.45 (37),0.46 (38),0.50 (43),0.25 (40),
490541,jerrygong,0.34 (39),0.52 (40),0.36 (39),0.50 (36),0.39 (40),0.15 (41),0.66 (36),0.29 (41),0.44 (38),0.47 (36),0.54 (39),0.22 (43),
506890,mqxwd68,0.33 (40),0.52 (41),0.36 (40),0.50 (38),0.38 (41),0.14 (43),0.67 (35),0.31 (39),0.45 (36),0.46 (37),0.53 (40),0.24 (41),
527182,tionponchine,0.33 (41),0.61 (26),0.32 (41),0.51 (35),0.36 (43),0.14 (42),0.59 (44),0.27 (43),0.38 (44),0.39 (42),0.43 (46),0.18 (45),
1061326,LightFox7,0.31 (42),0.56 (37),0.32 (42),0.38 (43),0.37 (42),0.20 (39),0.61 (42),0.26 (44),0.44 (39),0.48 (34),0.54 (38),0.29 (38),
709995,raffaele.galliera,0.30 (43),0.46 (43),0.32 (43),0.50 (38),0.32 (45),0.10 (45),0.71 (31),0.27 (42),0.42 (42),0.45 (39),0.51 (42),0.16 (46),
651650,argusswift,0.30 (44),0.54 (39),0.30 (44),0.43 (41),0.34 (44),0.14 (44),0.56 (45),0.25 (46),0.39 (43),0.42 (41),0.47 (45),0.22 (42),
888818,winner_test,0.27 (45),0.51 (42),0.26 (46),0.51 (33),0.29 (47),0.06 (49),0.66 (36),0.24 (47),0.36 (45),0.37 (43),0.42 (47),0.09 (50),
899764,thuync,0.27 (46),0.44 (44),0.29 (45),0.37 (44),0.29 (46),0.15 (41),0.63 (41),0.26 (45),0.44 (40),0.48 (35),0.52 (41),0.28 (39),
962828,nnx,0.24 (47),0.41 (45),0.24 (47),0.42 (42),0.25 (48),0.06 (48),0.61 (43),0.22 (48),0.34 (46),0.36 (44),0.41 (48),0.10 (48),
569700,Irfan-Hasib,0.20 (48),0.36 (48),0.21 (48),0.32 (46),0.24 (49),0.06 (47),0.41 (49),0.20 (49),0.25 (49),0.25 (47),0.28 (51),0.07 (52),
757513,csm-kr,0.19 (49),0.37 (47),0.18 (49),0.36 (45),0.20 (50),0.02 (55),0.51 (46),0.19 (50),0.26 (48),0.28 (46),0.29 (50),0.04 (55),
778183,nomusan,0.17 (50),0.37 (46),0.13 (50),0.26 (48),0.19 (51),0.06 (50),0.47 (47),0.17 (51),0.28 (47),0.30 (45),0.35 (49),0.11 (47),
962703,mengzhaoxu,0.14 (51),0.31 (49),0.11 (53),0.21 (51),0.17 (52),0.05 (52),0.34 (51),0.16 (52),0.22 (50),0.23 (48),0.27 (52),0.08 (51),
962846,wgt,0.13 (52),0.25 (51),0.13 (51),0.24 (49),0.14 (54),0.01 (56),0.30 (52),0.13 (54),0.16 (53),0.16 (51),0.16 (55),0.01 (59),
958198,tuchin32,0.12 (53),0.27 (50),0.07 (57),0.22 (50),0.15 (53),0.03 (54),0.40 (50),0.14 (53),0.21 (51),0.22 (49),0.23 (53),0.03 (56),
496862,DLBird,0.10 (54),0.14 (53),0.11 (52),0.14 (53),0.11 (55),0.07 (46),0.16 (54),0.08 (57),0.12 (54),0.13 (52),0.13 (56),0.09 (49),
842183,yui,0.10 (55),0.20 (52),0.08 (55),0.26 (47),0.07 (57),0.00 (59),0.45 (48),0.12 (55),0.20 (52),0.21 (50),0.20 (54),0.01 (58),
1091821,hzhangcx,0.08 (56),0.10 (55),0.08 (54),0.10 (54),0.08 (56),0.06 (51),0.11 (55),0.05 (58),0.08 (56),0.09 (54),0.09 (57),0.07 (53),
748709,achirei.stefan,0.07 (57),0.10 (54),0.08 (56),0.16 (52),0.05 (60),0.00 (57),0.24 (53),0.10 (56),0.10 (55),0.10 (53),0.06 (59),0.00 (60),
592147,liuyingli,0.05 (58),0.08 (56),0.06 (58),0.08 (55),0.05 (59),0.03 (53),0.09 (56),0.04 (59),0.06 (57),0.06 (55),0.06 (58),0.04 (54),
541890,evebyrne,0.05 (59),0.08 (57),0.06 (59),0.08 (56),0.05 (58),0.02 (55),0.09 (57),0.04 (60),0.06 (58),0.06 (56),0.06 (59),0.03 (57),
492086,ranchirino,0.03 (60),0.05 (58),0.04 (60),0.06 (57),0.02 (61),0.00 (58),0.07 (58),0.03 (61),0.04 (59),0.04 (57),0.03 (60),0.00 (61),
