submission_pk,User,F-Score,Accuracy
766699,dalya,0.9603 (1),0.9500 (1),
766802,MagicPai,0.9570 (2),0.9450 (2),
766536,mengyuan_jiayi,0.9539 (3),0.9410 (3),
766707,zain,0.9538 (4),0.9410 (3),
766117,DeepBlueAI,0.9528 (5),0.9400 (4),
762721,stce,0.9517 (6),0.9380 (5),
758363,somethingx95,0.9513 (7),0.9380 (5),
757454,zaak,0.9504 (8),0.9370 (6),
753838,apostaremczak,0.9503 (9),0.9370 (6),
764364,fdabek,0.9496 (10),0.9370 (6),
743855,Amherst685,0.9490 (11),0.9340 (7),
755089,Tyagi_Lakshay,0.9487 (12),0.9340 (7),
755081,AvikPal141099,0.9479 (13),0.9330 (8),
759479,razormest,0.9471 (14),0.9320 (9),
754165,snehan_coursera,0.9459 (15),0.9310 (10),
763217,CHAOYUDENG,0.9452 (16),0.9300 (11),
762943,LeoJ,0.9446 (17),0.9290 (12),
755179,gerarld,0.9446 (17),0.9290 (12),
748553,StoneOpen,0.9444 (18),0.9280 (13),
763767,ryanachi,0.9435 (19),0.9270 (14),
757423,emran,0.9426 (20),0.9270 (14),
757728,xiangyangli,0.9425 (21),0.9260 (15),
762086,YuanXDD,0.9410 (22),0.9240 (16),
766200,omar1234,0.9406 (23),0.9240 (16),
763380,abdelkader,0.9403 (24),0.9240 (16),
743400,manzar,0.9397 (25),0.9230 (17),
766368,ThisIstheEnd,0.9391 (26),0.9220 (18),
766006,Sattiy,0.9372 (27),0.9190 (19),
744455,keerthikarajvel,0.9330 (28),0.9140 (21),
760322,Nisha_Ramrakhyani,0.9315 (29),0.9150 (20),
754752,surajsh,0.9305 (30),0.9110 (22),
740166,pakawat.nk,0.9292 (31),0.9100 (23),
755601,csecudsg,0.9283 (32),0.9080 (24),
745451,Aish,0.9279 (33),0.9070 (25),
761399,mayukh,0.9254 (34),0.9050 (26),
743679,ormuz,0.9242 (35),0.9030 (27),
766816,bousselham,0.9240 (36),0.9020 (28),
765841,calamitylink,0.9233 (37),0.9000 (29),
762993,SreyanGhosh,0.9223 (38),0.9020 (28),
758277,iambackend,0.9216 (39),0.8990 (30),
735087,wyclover,0.9215 (40),0.8990 (30),
