submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
183371,aad_freiburg,1.80 (1),0.6396 (2),0.5233 (2),0.2828 (1),0.7824 (1),0.3820 (3),5.05 (8),
172941,ideal.intel.analytics,2.80 (2),0.6485 (1),0.5288 (1),0.2526 (4),0.7249 (7),0.3908 (1),2.02 (18),
173061,abhishek4,5.00 (3),0.5802 (6),0.5143 (4),0.2416 (7),0.7589 (3),0.3731 (5),2.03 (13),
185561,aad_freiburg-GPU,5.40 (4),0.5933 (4),0.4493 (13),0.2662 (2),0.7569 (4),0.3787 (4),7.09 (6),
185091,abhhishek-GPU,5.60 (5),0.5607 (10),0.5062 (8),0.2467 (6),0.7626 (2),0.3874 (2),2.02 (16),
183531,djajetic_GPU,6.00 (6),0.5591 (11),0.5152 (3),0.2477 (5),0.7498 (5),0.3648 (6),131.06 (5),
186581,postech.mlg_exbrain,6.20 (7),0.6351 (3),0.5119 (5),0.2563 (3),0.5761 (12),0.3228 (8),2.02 (17),
183491,agrigorev_GPU,9.60 (8),0.5405 (12),0.4878 (12),0.1943 (11),0.7365 (6),0.3425 (7),3.02 (12),
183461,lisa,10.00 (9),0.5617 (9),0.5106 (6),0.2008 (10),0.5375 (15),0.3032 (10),2.02 (20),
183891,djajetic,11.20 (10),0.5805 (5),0.4980 (11),0.1531 (13),0.3887 (16),0.2907 (11),5842.44 (1),
182351,lise_sun,12.00 (11),0.5752 (7),0.3991 (15),0.2051 (8),0.5908 (11),0.2339 (19),3.03 (10),
171911,agrigorev,12.40 (12),0.5310 (14),0.5084 (7),0.1409 (14),0.7074 (9),0.2402 (18),2.03 (14),
170371,marc.boulle,12.80 (13),0.5319 (13),0.5052 (9),0.1894 (12),0.6582 (10),0.1867 (20),3.02 (11),
177491,asml.intel.com,13.80 (14),0.2185 (21),0.4995 (10),0.2020 (9),0.7102 (8),0.0641 (21),2.01 (21),
159131,levesque,14.00 (15),0.5633 (8),0.3533 (18),0.0431 (18),0.3743 (17),0.3209 (9),1.01 (23),
173111,SkidanovAlex,14.80 (16),0.5044 (15),0.4097 (14),0.1178 (15),0.3678 (18),0.2795 (12),5.05 (7),
170551,batTeam,15.80 (17),0.4131 (18),0.3710 (17),0.0804 (17),0.5378 (13),0.2600 (14),4298.72 (3),
139071,bellar,16.00 (18),0.4119 (20),0.3710 (16),0.0981 (16),0.5375 (15),0.2607 (13),2.02 (15),
172611,guyon,16.00 (18),0.4119 (20),0.3710 (16),0.0981 (16),0.5375 (15),0.2607 (13),2.01 (22),
168041,AutoMl_imad,16.20 (19),0.4129 (19),0.3710 (17),0.0804 (17),0.5378 (13),0.2598 (15),4308.46 (2),
136171,reference,16.60 (20),0.4150 (17),0.2944 (19),0.0804 (17),0.5375 (14),0.2596 (16),4114.33 (4),
165201,sulim,18.40 (21),0.4554 (16),0.0693 (20),0.0106 (20),-1.5492 (19),0.2593 (17),2.02 (19),
172811,hmendozap,20.80 (22),-0.2905 (22),0.0009 (21),0.0175 (19),-3.2122 (20),-0.0000 (22),4.03 (9),
