submission_pk,User,mean_acc_all,mean_acc_classes
501621,Yingwei.Pan,0.760 (1),- (-),
501215,denemmy,0.716 (2),- (-),
501677,numpee,0.696 (3),- (-),
501672,HappyDA,0.692 (4),- (-),
501689,dat,0.674 (5),- (-),
501472,nywenjing,0.653 (6),- (-),
501491,dacai,0.650 (7),- (-),
500968,VeloDC,0.644 (8),- (-),
500550,ying96,0.625 (9),- (-),
500821,tkkim93,0.608 (10),- (-),
500406,Ellenisawake,0.600 (11),- (-),
498307,tpbrandon01,0.573 (12),- (-),
498433,CuthbertCai,0.523 (13),- (-),
501248,randomseed1,0.437 (14),- (-),
500732,ob,0.433 (15),- (-),
497791,loss,0.004 (16),- (-),
