submission_pk,User,All spans + all properties,All spans + all properties,All spans + all properties,All spans only,All spans only,All spans only,Time span + all properties,Time span + all properties,Time span + all properties,Time span only,Time span only,Time span only,Time span + Class,Time span + Class,Time span + Class,Event span + all properties,Event span + all properties,Event span + all properties,Event span only,Event span only,Event span only,Event span + Modality,Event span + Modality,Event span + Modality,Event span + Degree,Event span + Degree,Event span + Degree,Event span + Polarity,Event span + Polarity,Event span + Polarity,Event span + Type,Event span + Type,Event span + Type,Narrative Container Relation,Narrative Container Relation,Narrative Container Relation,Document Time Relation,Document Time Relation,Document Time Relation
,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R
386076,Julien,0.58 (1),0.83 (2),0.64 (1),0.67 (1),0.64 (1),0.58 (1),0.85 (2),0.78 (1),0.84 (2),0.83 (2),0.83 (2),0.43 (1),0.66 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386043,tuur,0.54 (2),0.75 (5),0.53 (5),0.55 (5),0.53 (5),0.54 (2),0.78 (5),0.71 (5),0.77 (5),0.76 (4),0.76 (5),0.35 (3),0.61 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386039,NTU-1,0.50 (3),0.84 (1),0.54 (4),0.58 (4),0.54 (4),0.50 (3),0.87 (1),0.75 (2),0.86 (1),0.84 (1),0.85 (1),0.37 (2),0.59 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386050,zhangshunli2016,0.42 (5),0.68 (8),0.38 (8),0.41 (9),0.38 (8),0.43 (4),0.72 (8),0.64 (7),0.71 (7),0.70 (5),0.70 (7),0.09 (8),0.51 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384321,bethard,0.39 (7),0.68 (9),0.24 (9),0.26 (10),0.24 (9),0.41 (6),0.74 (7),0.65 (6),0.73 (6),0.69 (6),0.72 (6),0.09 (7),0.48 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385889,alamurias,0.43 (4),0.80 (3),0.56 (3),0.60 (3),0.56 (3),0.41 (5),0.83 (3),0.73 (3),0.82 (3),0.81 (3),0.80 (3),0.00 (10),0.51 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386166,macavaneys,0.41 (6),0.79 (4),0.59 (2),0.62 (2),0.59 (2),0.38 (7),0.82 (4),0.72 (4),0.80 (4),0.64 (8),0.79 (4),0.16 (5),0.55 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385638,Raghavendra_Ch,0.24 (9),0.52 (11),0.16 (10),0.25 (11),0.16 (10),0.25 (8),0.56 (11),0.47 (10),0.55 (9),0.52 (9),0.54 (9),0.08 (9),0.33 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384962,danilo_dessi,0.25 (8),0.68 (10),0.38 (7),0.45 (8),0.38 (7),0.23 (9),0.71 (10),0.61 (8),0.70 (8),0.66 (7),0.67 (8),0.00 (10),0.28 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386360,ramon,0.05 (10),0.69 (7),0.43 (6),0.52 (6),0.43 (6),0.00 (10),0.71 (9),0.61 (9),0.00 (10),0.00 (10),0.00 (10),0.16 (6),0.48 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385829,hitachinlp,0.00 (11),0.72 (6),0.00 (11),0.48 (7),0.00 (11),0.00 (10),0.76 (6),0.00 (11),0.00 (10),0.00 (10),0.00 (10),0.27 (4),0.55 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
