submission_pk,User,mAP
418295,chenc2,0.874122 (1),
418301,shao,0.870463 (2),
418274,yoosan,0.852795 (3),
418300,CKboss,0.824085 (4),
418239,likelyzhao,0.792526 (5),
418293,TMP_123456,0.786180 (6),
418261,GuanShuosen,0.717763 (7),
418287,sogang,0.658745 (8),
417828,jylu666,0.597280 (9),
415078,wzxhome,0.524502 (10),
