submission_pk,User,MAE (mean),MAE (sd),Time,Data Type
738761,deconbench_8,0.0278 (1),0.0070 (3),2193.39 (8),3.0 (1),
738757,deconbench_4,0.0307 (2),0.0253 (8),1090.35 (6),2.0 (2),
738760,deconbench_7,0.0366 (3),0.0107 (6),1657.53 (7),3.0 (1),
738149,deconbench_3,0.0404 (4),0.0130 (7),342.27 (5),1.0 (3),
901389,magrichard,0.0548 (5),0.0103 (5),262.08 (4),2.0 (2),
738758,deconbench_5,0.0570 (6),0.0086 (4),32.04 (1),2.0 (2),
738759,deconbench_6,0.0803 (7),0.0037 (1),233.10 (3),3.0 (1),
738754,deconbench_1,0.1215 (8),0.0067 (2),201.78 (2),1.0 (3),
