submission_pk,User,f1,recall,prec,acc
1074415,khairunnisa,0.805 (1),0.813 (2),0.798 (1),0.000 (1),
1141679,rocky.arkan,0.801 (2),0.823 (1),0.782 (2),0.000 (1),
707057,cahya,0.777 (3),0.797 (3),0.757 (3),0.000 (1),
849989,minhtu7591,0.753 (4),0.776 (5),0.732 (4),0.000 (1),
1107970,thiffany.pratama,0.752 (5),0.781 (4),0.728 (5),0.000 (1),
1112673,adi.wahyu.candra.kusuma,0.704 (6),0.710 (6),0.699 (6),0.000 (1),
707069,samuelc,0.666 (7),0.677 (7),0.656 (7),0.000 (1),
1113099,nafkhanzam,0.602 (8),0.624 (8),0.585 (9),0.000 (1),
1113058,dionisiuspr,0.581 (9),0.573 (9),0.613 (8),0.000 (1),
