submission_pk,User,All-Masked (MFR),Wild-Masked (MFR),Controlled-Masked (MFR),All (SFR),Wild (SFR),Controlled (SFR),Detection Time,Recognition Time,Total Time
953633,Ethan.y,0.0980 (1),0.1283 (5),0.0500 (1),0.0393 (12),0.0627 (13),0.0032 (6),156.00 (5),760.00 (47),916.00 (48),
952215,victor-2021,0.1017 (2),0.1222 (1),0.0694 (3),0.0162 (1),0.0270 (1),0.0018 (1),157.00 (6),496.00 (33),653.00 (34),
949822,sleepybear,0.1036 (3),0.1246 (2),0.0699 (5),0.0168 (2),0.0276 (2),0.0020 (2),162.00 (10),498.00 (34),660.00 (35),
951748,wjtan99,0.1056 (4),0.1279 (4),0.0698 (4),0.0187 (3),0.0306 (4),0.0021 (3),97.00 (3),897.00 (55),994.00 (53),
951549,hukangli,0.1056 (4),0.1278 (3),0.0698 (4),0.0187 (3),0.0305 (3),0.0021 (3),97.00 (3),899.00 (56),996.00 (54),
953351,min.yang,0.1131 (5),0.1366 (6),0.0758 (6),0.0228 (4),0.0367 (5),0.0026 (4),158.00 (7),453.00 (32),611.00 (33),
951378,wzw,0.1272 (6),0.1530 (7),0.0833 (11),0.0267 (7),0.0432 (8),0.0028 (5),49.00 (2),744.00 (46),793.00 (39),
953505,vuvko,0.1315 (7),0.1575 (8),0.0872 (12),0.0248 (6),0.0407 (7),0.0028 (5),157.00 (6),926.00 (57),1083.00 (58),
931493,lcx2,0.1318 (8),0.1699 (13),0.0689 (2),0.0585 (27),0.0911 (30),0.0061 (19),186.00 (17),371.00 (28),557.00 (31),
939728,linkpal2021,0.1319 (9),0.1622 (11),0.0828 (10),0.0346 (9),0.0561 (10),0.0033 (7),162.00 (10),769.00 (48),931.00 (49),
950752,tuolaji,0.1340 (10),0.1610 (10),0.0909 (15),0.0242 (5),0.0399 (6),0.0026 (4),167.00 (13),286.00 (14),453.00 (19),
950057,crishawy,0.1340 (10),0.1610 (10),0.0909 (15),0.0242 (5),0.0399 (6),0.0026 (4),158.00 (7),861.00 (54),1019.00 (57),
