submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
84681,ideal.intel.analytics,1.40 (1),0.4028 (2),0.9826 (1),0.3869 (1),0.5258 (1),0.3709 (2),1.02 (124),
102401,djajetic,2.20 (2),0.3979 (3),0.9742 (2),0.3781 (3),0.5048 (2),0.3711 (1),1.01 (164),
102691,asml.intel.com,3.00 (3),0.4040 (1),0.9722 (3),0.3533 (4),0.4990 (3),0.3406 (4),2.02 (66),
102941,aad_freiburg,3.40 (4),0.3923 (4),0.9542 (4),0.3821 (2),0.4535 (4),0.3431 (3),10.08 (35),
52081,fstrub,15.20 (5),0.3427 (11),0.6631 (46),0.3527 (7),0.4212 (5),0.2878 (7),301.26 (33),
57221,wwwmurphy,17.20 (6),0.3386 (24),0.6632 (18),0.3524 (10),0.4091 (23),0.2874 (11),2.01 (116),
57311,drsharp,17.20 (6),0.3401 (15),0.6632 (21),0.3523 (12),0.4113 (12),0.2865 (26),2.03 (45),
102442,reference,17.40 (7),0.3468 (9),0.6630 (59),0.3528 (6),0.4170 (7),0.2880 (6),2.02 (63),
54231,bsd.conqueror,17.80 (8),0.3409 (13),0.6631 (24),0.3524 (11),0.4071 (32),0.2874 (9),1.02 (126),
53081,kazeevn,18.40 (9),0.3387 (23),0.6632 (21),0.3523 (14),0.4113 (13),0.2866 (21),2.02 (80),
56911,Sergey,18.80 (10),0.3385 (26),0.6632 (13),0.3523 (13),0.4074 (29),0.2871 (13),2.02 (88),
52851,kuz,19.00 (11),0.3399 (17),0.6631 (23),0.3522 (23),0.4105 (16),0.2869 (16),2.02 (102),
54131,omares,19.80 (12),0.3390 (19),0.6632 (17),0.3521 (31),0.4147 (8),0.2865 (24),2.02 (64),
57241,meyou,20.00 (13),0.3385 (26),0.6631 (26),0.3522 (19),0.4114 (10),0.2869 (19),2.02 (57),
58811,pak63,20.80 (14),0.3375 (31),0.6632 (11),0.3521 (32),0.4114 (10),0.2866 (20),2.02 (65),
57491,maxlikely,21.80 (15),0.3385 (26),0.6632 (12),0.3521 (40),0.4147 (8),0.2865 (23),1.01 (158),
56381,myazdani,22.40 (16),0.3400 (16),0.6631 (35),0.3522 (22),0.4113 (11),0.2863 (28),2.01 (122),
61141,janne.peltola,25.40 (17),0.3401 (15),0.6631 (32),0.3521 (47),0.4101 (19),0.2870 (14),2.02 (104),
59431,anton.rodomanov,25.60 (18),0.3385 (25),0.6632 (16),0.3521 (41),0.4147 (8),0.2860 (38),1.02 (129),
57591,vijaymanikandan,26.00 (19),0.3385 (26),0.6631 (36),0.3523 (15),0.4066 (34),0.2869 (19),2.02 (103),
53892,e_sha,26.20 (20),0.3384 (28),0.6632 (12),0.3521 (48),0.4079 (28),0.2870 (15),2.02 (94),
52521,brunoseznec,26.40 (21),0.3400 (16),0.6632 (22),0.3521 (38),0.4109 (15),0.2859 (41),2.02 (59),
63741,reza_sanatkar,26.60 (22),0.3367 (33),0.6631 (29),0.3521 (33),0.4140 (9),0.2863 (29),2.03 (52),
56541,Maria,27.40 (23),0.3401 (15),0.6631 (37),0.3520 (50),0.4109 (15),0.2866 (20),1.01 (142),
52701,skyfallen,28.00 (24),0.3384 (28),0.6632 (22),0.3522 (20),0.4066 (35),0.2862 (35),1.01 (159),
56841,alexandern,28.00 (24),0.3376 (30),0.6631 (33),0.3523 (18),0.4046 (47),0.2873 (12),2.02 (99),
65991,Charlene,28.00 (24),0.3387 (23),0.6631 (31),0.3521 (35),0.4104 (17),0.2862 (34),2.02 (68),
63501,rufus16,28.20 (25),0.3400 (16),0.6630 (54),0.3523 (16),0.4081 (27),0.2863 (28),2.02 (76),
69571,iroshani,28.40 (26),0.3399 (17),0.6628 (73),0.3524 (9),0.4067 (33),0.2874 (10),2.02 (67),
64201,hu_ful,29.00 (27),0.3387 (21),0.6632 (15),0.3519 (73),0.4113 (12),0.2865 (24),4.03 (36),
58701,Tatyana,29.40 (28),0.3367 (34),0.6632 (10),0.3521 (45),0.4103 (18),0.2860 (40),1155.04 (17),
55121,akolesnikov,29.60 (29),0.3376 (29),0.6631 (32),0.3521 (40),0.4073 (30),0.2869 (17),1.01 (140),
59051,dioexul,30.40 (30),0.3387 (23),0.6630 (52),0.3523 (17),0.4098 (20),0.2860 (40),2.02 (78),
60121,voddan,30.40 (30),0.3387 (21),0.6631 (27),0.3522 (27),0.4071 (32),0.2858 (45),2.02 (100),
56301,yanina_anastasia,31.80 (31),0.3401 (15),0.6632 (19),0.3516 (86),0.4085 (25),0.2870 (14),2.02 (82),
56901,SvetlanaKomar,31.80 (31),0.3401 (15),0.6632 (14),0.3520 (71),0.4103 (18),0.2859 (41),1.02 (132),
59641,ka_vlad,31.80 (31),0.3349 (36),0.6631 (28),0.3521 (34),0.4066 (34),0.2864 (27),2.02 (90),
70381,AuroTripathy,31.80 (31),0.3387 (23),0.6631 (48),0.3521 (42),0.4103 (18),0.2863 (28),1.01 (139),
51691,ton4eg,32.00 (32),0.3418 (12),0.6074 (114),0.3530 (5),0.4094 (21),0.2877 (8),305.33 (29),
69551,ash712,32.00 (32),0.3384 (28),0.6630 (53),0.3522 (21),0.4064 (36),0.2865 (22),2.01 (118),
59451,Ryup,32.40 (33),0.3387 (22),0.6631 (43),0.3521 (49),0.4140 (9),0.2860 (39),2.02 (93),
59831,Yuantao,33.20 (34),0.3390 (19),0.6631 (30),0.3521 (36),0.4048 (45),0.2861 (36),2.02 (71),
59691,annaveronika,33.40 (35),0.3387 (21),0.6630 (54),0.3521 (49),0.4103 (18),0.2865 (25),2.02 (92),
59191,morphism,34.40 (36),0.3376 (29),0.6631 (37),0.3520 (64),0.4113 (11),0.2863 (31),1.01 (144),
57581,skanajan,35.60 (37),0.3376 (29),0.6631 (38),0.3520 (51),0.4085 (26),0.2862 (34),2.02 (96),
69661,kirilligum,35.60 (37),0.3384 (28),0.6631 (37),0.3521 (44),0.4061 (37),0.2863 (32),2.02 (108),
55901,atanna,36.60 (38),0.3349 (36),0.6631 (42),0.3522 (29),0.4085 (26),0.2856 (50),2.02 (95),
59721,rdautov,36.80 (39),0.3390 (19),0.6631 (42),0.3520 (63),0.4081 (27),0.2862 (33),2.03 (41),
55131,Kovalenko,37.00 (40),0.3375 (31),0.6631 (25),0.3521 (46),0.4059 (38),0.2858 (45),2.02 (86),
57851,alxndrkalinin,37.00 (40),0.3384 (27),0.6632 (20),0.3522 (28),0.4023 (53),0.2855 (57),2.02 (62),
57921,ggamble,38.60 (41),0.3403 (14),0.6631 (41),0.3520 (60),0.4066 (35),0.2858 (43),1.01 (145),
56591,lex_t,38.80 (42),0.3367 (34),0.6631 (43),0.3519 (72),0.4112 (14),0.2863 (31),2.02 (60),
59131,gladnik,39.80 (43),0.3367 (33),0.6630 (52),0.3520 (57),0.4085 (26),0.2863 (31),1.02 (130),
57611,kudkudak,40.00 (44),0.3376 (29),0.6631 (47),0.3522 (30),0.4023 (53),0.2859 (41),2.02 (73),
59101,karanc,40.00 (44),0.3367 (34),0.6631 (30),0.3520 (54),0.4045 (48),0.2862 (34),1.01 (134),
52481,meelis,40.60 (45),0.3367 (34),0.6631 (41),0.3520 (62),0.4091 (22),0.2858 (44),1.01 (135),
67871,Julie,41.40 (46),0.3367 (34),0.6631 (49),0.3520 (58),0.4064 (36),0.2863 (30),2.03 (49),
70311,sangha123,41.80 (47),0.3349 (36),0.6631 (34),0.3522 (25),0.4012 (59),0.2855 (55),2.02 (74),
54531,shapovalov,42.00 (48),0.3367 (33),0.6631 (42),0.3521 (37),0.4041 (49),0.2856 (49),2.02 (58),
61161,mondgottin,42.20 (49),0.3390 (19),0.6631 (49),0.3520 (61),0.4053 (42),0.2860 (40),2.03 (44),
58341,alex_,42.60 (50),0.3367 (33),0.6630 (52),0.3520 (55),0.4081 (27),0.2858 (46),1.01 (147),
54671,efumeo,43.00 (51),0.3387 (21),0.6631 (45),0.3517 (81),0.4085 (26),0.2859 (42),2.02 (110),
59251,Kivi,43.40 (52),0.3388 (20),0.6629 (64),0.3517 (78),0.4175 (6),0.2856 (49),2.03 (42),
57121,pluh889,43.80 (53),0.3370 (32),0.6631 (50),0.3521 (43),0.4059 (38),0.2855 (56),2.02 (97),
53171,eyad.alsibai,44.40 (54),0.3376 (29),0.6631 (40),0.3520 (59),0.4039 (50),0.2858 (44),1.01 (146),
68672,jupiter,44.60 (55),0.3626 (5),0.6625 (91),0.3520 (68),0.4091 (22),0.2860 (37),2.01 (114),
52012,finlouarn,44.80 (56),0.3384 (28),0.6628 (75),0.3526 (8),0.3669 (95),0.2869 (18),304.44 (30),
58401,system29a,45.20 (57),0.3370 (32),0.6632 (15),0.3520 (53),0.4037 (52),0.2808 (74),2.01 (115),
55931,jumpseven,45.40 (58),0.3367 (33),0.6630 (55),0.3520 (70),0.4087 (24),0.2858 (45),1.01 (155),
59061,ilya.shenbin,45.40 (58),0.3349 (36),0.6631 (25),0.3520 (67),0.3985 (62),0.2860 (37),2.01 (121),
59071,olegharacidi,45.40 (58),0.3349 (36),0.6631 (25),0.3520 (69),0.4048 (45),0.2855 (52),3.03 (39),
60801,francis,45.60 (59),0.3387 (21),0.6631 (44),0.3520 (56),0.4012 (59),0.2857 (48),1.01 (137),
69671,mitchellowen,47.60 (60),0.3367 (34),0.6630 (57),0.3520 (52),0.4048 (44),0.2855 (51),1.01 (149),
54111,pturkov,48.20 (61),0.3390 (19),0.6630 (56),0.3521 (39),0.3975 (66),0.2853 (61),1.02 (125),
56851,scorpeus,50.80 (62),0.3384 (27),0.6629 (60),0.3520 (65),0.4041 (49),0.2855 (53),2.02 (56),
64031,chandrak1907,54.00 (63),0.3367 (34),0.6627 (80),0.3519 (75),0.4072 (31),0.2856 (50),1.01 (138),
59551,hihelga,54.80 (64),0.3349 (35),0.6625 (91),0.3522 (26),0.4023 (54),0.2815 (68),2.02 (106),
59171,buribayeva,55.40 (65),0.3367 (33),0.6631 (39),0.3520 (66),0.3091 (103),0.2861 (36),2.03 (50),
53871,lebedev,58.60 (66),0.3370 (32),0.6628 (70),0.3519 (76),0.4023 (54),0.2853 (61),1.01 (166),
57051,sauravmaximus,58.60 (66),0.3349 (36),0.6627 (79),0.3522 (24),0.3958 (73),0.2804 (81),1.02 (131),
58261,barmaglot0,59.00 (67),0.3349 (35),0.6631 (39),0.3385 (108),0.4058 (40),0.2809 (73),1.01 (160),
56891,MaheshGoud,59.60 (68),0.3388 (20),0.6626 (81),0.3519 (74),0.4018 (57),0.2815 (66),2.02 (107),
89781,lukasz.romaszko,60.40 (69),0.3106 (56),0.9035 (6),0.3187 (136),0.3382 (99),0.3317 (5),2.02 (72),
55541,super_tacos,60.60 (70),0.3367 (34),0.6628 (70),0.3520 (69),0.3969 (71),0.2854 (59),2.02 (83),
56371,V9,61.60 (71),0.3367 (33),0.6629 (65),0.3519 (77),0.3969 (71),0.2853 (62),2.03 (54),
58151,b.yergesh,61.60 (71),0.3388 (20),0.6625 (87),0.3517 (82),0.4037 (52),0.2815 (67),2.02 (101),
57411,artix41,61.80 (72),0.3343 (37),0.6626 (82),0.3517 (83),0.4041 (49),0.2855 (58),2.02 (84),
64301,fmu,63.40 (73),0.3332 (39),0.6628 (71),0.3515 (91),0.4021 (55),0.2853 (61),2.02 (89),
60131,QChaos,63.60 (74),0.3332 (39),0.6627 (76),0.3516 (85),0.4046 (46),0.2811 (72),2.02 (109),
52541,alexeigor,63.80 (75),0.3349 (35),0.6629 (62),0.3515 (90),0.4018 (56),0.2807 (76),1.01 (141),
59681,filcand,66.20 (76),0.3332 (39),0.6625 (87),0.3516 (84),0.4013 (58),0.2852 (63),1.01 (163),
56781,mikhail,67.00 (77),0.3343 (37),0.6626 (83),0.3515 (94),0.4038 (51),0.2813 (70),1.01 (162),
59351,rezident624,67.00 (77),0.3343 (37),0.6627 (77),0.3506 (105),0.3985 (62),0.2855 (54),1.01 (152),
53982,dustalov,67.20 (78),0.3349 (36),0.6627 (79),0.3508 (101),0.4021 (55),0.2815 (65),2.03 (47),
59391,rusposevkin,67.20 (78),0.3370 (32),0.6625 (89),0.3516 (88),0.3971 (67),0.2854 (60),2.02 (91),
57041,back4good,67.80 (79),0.3343 (37),0.6629 (61),0.3512 (96),0.4003 (60),0.2803 (85),1.01 (161),
59931,solhewe,67.80 (79),0.3370 (32),0.6629 (61),0.3517 (79),0.2837 (107),0.2854 (60),2.02 (61),
69691,tairi,68.80 (80),0.3370 (32),0.6625 (91),0.3517 (80),0.3962 (72),0.2814 (69),2.02 (111),
52551,tambetm,69.60 (81),0.3370 (32),0.6627 (78),0.3515 (92),0.3969 (70),0.2807 (76),1.01 (148),
58451,Ectelion,70.00 (82),0.3343 (37),0.6626 (82),0.3517 (79),0.3817 (91),0.2853 (61),2.02 (98),
57331,vuthuyfo,70.20 (83),0.3311 (40),0.6629 (63),0.3510 (98),0.3970 (69),0.2804 (81),2.01 (117),
59631,UNdedss,70.40 (84),0.3349 (35),0.6626 (85),0.3515 (89),0.3958 (73),0.2813 (70),2.02 (87),
54331,tadej,70.60 (85),0.3370 (32),0.6630 (51),0.3382 (120),0.3946 (75),0.2808 (75),2.03 (40),
69201,bdexpert,70.60 (85),0.3283 (41),0.6629 (66),0.3507 (102),0.3999 (61),0.2804 (83),1.01 (165),
59341,igla,70.80 (86),0.3370 (32),0.6624 (95),0.3382 (122),0.4058 (39),0.2815 (66),2.02 (105),
57071,alexryan,71.20 (87),0.3270 (43),0.6630 (51),0.3384 (110),0.3975 (66),0.2802 (86),2.02 (69),
78291,helentr,72.00 (88),0.3519 (7),0.6904 (8),-0.1867 (147),0.3900 (82),0.1689 (116),2.01 (123),
80371,backstreet.bayes,72.00 (88),0.3217 (52),0.9207 (5),0.3452 (107),0.3879 (85),0.2284 (111),5913.41 (1),
57111,vladislav.dolganov,72.20 (89),0.3332 (39),0.6630 (58),0.3511 (97),0.3818 (90),0.2806 (77),1.01 (154),
55601,bihaqo,72.40 (90),0.3260 (45),0.6626 (82),0.3384 (113),0.4052 (43),0.2805 (79),2.01 (113),
58561,dobrogodin,72.40 (90),0.3384 (27),0.6626 (84),0.3516 (87),0.3958 (73),0.2799 (91),1.01 (150),
69701,arpan,72.40 (90),0.3283 (41),0.6629 (68),0.3513 (95),0.3840 (87),0.2811 (71),2.02 (75),
54212,Alina,73.20 (91),0.3283 (41),0.6628 (72),0.3507 (104),0.3970 (69),0.2804 (80),1.01 (151),
54091,MInenr,74.00 (92),0.3260 (45),0.6628 (72),0.3508 (100),0.3978 (64),0.2801 (89),13.11 (34),
59161,pradeepbn,74.60 (93),0.3283 (41),0.6628 (69),0.3384 (114),0.3971 (68),0.2804 (81),2.03 (55),
68831,neptune,76.00 (94),0.3099 (59),0.6754 (9),0.2335 (140),0.2783 (108),0.2819 (64),766.37 (20),
51851,fguillou,76.80 (95),0.3434 (10),0.6621 (104),0.3324 (135),0.4053 (41),0.2797 (94),303.40 (31),
51861,eskaev,76.80 (95),0.3434 (10),0.6621 (104),0.3324 (135),0.4053 (41),0.2797 (94),305.83 (27),
59671,alfiel,77.40 (96),0.3311 (40),0.6628 (74),0.3506 (106),0.3833 (89),0.2805 (78),1.01 (153),
52571,jperolat,78.80 (97),0.3388 (20),0.6621 (104),0.3324 (135),0.4053 (41),0.2797 (94),2.01 (112),
57301,alkaee,79.00 (98),0.3222 (50),0.6621 (103),0.3383 (115),0.3916 (80),0.2858 (47),2.03 (48),
54021,abhishek4,80.00 (99),0.3271 (42),0.7923 (7),0.2080 (144),0.3450 (98),0.2565 (109),1.01 (143),
55251,alena.prytkova,80.00 (99),0.3283 (41),0.6629 (67),0.3508 (99),0.2487 (109),0.2804 (84),1.02 (128),
55941,SemanticPrincess,81.80 (100),0.3270 (43),0.6624 (98),0.3382 (121),0.3985 (62),0.2803 (85),1.01 (156),
57421,eandrews,82.00 (101),0.3311 (40),0.6623 (100),0.3382 (123),0.3977 (65),0.2804 (82),2.02 (85),
59151,tigvarts,82.00 (101),0.3343 (37),0.6626 (83),0.3515 (93),0.3797 (92),0.2606 (105),2.02 (79),
55261,Nadya,83.40 (102),0.3311 (40),0.6626 (86),0.3507 (103),0.3230 (100),0.2801 (88),3.04 (37),
71031,achehrehsaz,83.60 (103),0.3269 (44),0.6625 (94),0.3383 (119),0.3951 (74),0.2802 (87),1.01 (136),
59091,natali_kozlo,85.40 (104),0.3343 (37),0.6625 (90),0.3381 (127),0.3897 (83),0.2800 (90),2.02 (70),
58431,Krisgrey,86.20 (105),0.3243 (48),0.6621 (103),0.3385 (109),0.3930 (76),0.2796 (95),1302.16 (10),
52711,danielec,88.60 (106),0.3243 (47),0.6621 (104),0.3324 (135),0.3984 (63),0.2797 (94),2.01 (119),
53451,andrey.u,88.60 (106),0.3222 (50),0.6620 (107),0.3384 (111),0.3918 (79),0.2794 (96),1253.37 (15),
58691,elena_s,89.20 (107),0.3217 (51),0.6620 (108),0.3384 (112),0.3918 (79),0.2794 (96),1265.20 (14),
57281,mikedamour,89.40 (108),0.3222 (50),0.6621 (102),0.3383 (117),0.3902 (81),0.2757 (97),1281.76 (12),
58181,JuliaK,89.60 (109),0.3222 (50),0.6625 (93),0.3379 (128),0.3892 (84),0.2798 (93),1.02 (127),
70261,jaychen,90.20 (110),0.3217 (51),0.6621 (106),0.3383 (118),0.3920 (78),0.2756 (98),1244.49 (16),
61961,alekseiprokopev,90.80 (111),0.3398 (18),0.6600 (109),0.2216 (143),0.3927 (77),0.2602 (107),482.14 (25),
56731,SergeyM,91.40 (112),0.3260 (45),0.6625 (92),0.3381 (126),0.3185 (102),0.2798 (92),2.03 (53),
59111,tderibina,92.00 (113),0.3236 (49),0.6621 (105),0.3379 (129),0.3920 (78),0.2755 (99),2.02 (81),
60541,AlexeyGavron,92.20 (114),0.3222 (50),0.6623 (99),0.3382 (124),0.3856 (86),0.2611 (102),1282.56 (11),
57291,afenster,92.40 (115),0.3236 (49),0.6624 (97),0.3378 (130),0.3856 (86),0.2716 (100),1273.44 (13),
51591,tanel,92.60 (116),0.3172 (54),0.6625 (88),0.3382 (125),0.3791 (93),0.2611 (103),305.46 (28),
57391,bodomo,93.80 (117),0.3217 (51),0.6623 (101),0.3383 (116),0.2117 (111),0.2800 (90),2.03 (51),
102571,marc.boulle,93.80 (117),0.3592 (6),0.4430 (116),0.2274 (142),0.3833 (88),0.1500 (117),4328.95 (5),
51811,g-eorge,95.60 (118),0.3172 (54),0.6624 (96),0.3379 (129),0.3669 (95),0.2609 (104),303.21 (32),
55671,ralexstokes,95.60 (118),0.3375 (31),0.6598 (110),0.3382 (125),0.3553 (97),0.1910 (115),1.01 (157),
52171,hamnox,97.20 (119),0.3375 (31),0.6598 (110),0.3360 (133),0.3553 (97),0.1910 (115),2.02 (77),
