submission_pk,User,Subtask A Accuracy,Subtask B Accuracy,Subtask C BLEU
749712,Mubeen_071_D,60.5 (82),0.0 (22),0.0 (15),
749077,Mueed_132_D,59.3 (83),0.0 (22),0.0 (15),
749527,HARIS_135_E,59.1 (84),0.0 (22),0.0 (15),
748167,Amina_289_E,57.5 (85),0.0 (22),0.0 (15),
749452,HaysamBinTahir_228_E,57.4 (86),0.0 (22),0.0 (15),
749354,Haysam-Bin-Tahir,57.4 (86),0.0 (22),0.0 (15),
748177,Ayaz,57.1 (87),0.0 (22),0.0 (15),
748893,Haziq_015_E,56.5 (88),0.0 (22),0.0 (15),
749470,Ubaid_280_E,55.0 (89),0.0 (22),0.0 (15),
607171,Alexa,54.9 (90),0.0 (22),0.0 (15),
749862,AhmedAbdullah_120_D,53.2 (91),0.0 (22),0.0 (15),
749030,Jillani_148_E,52.7 (92),0.0 (22),0.0 (15),
749142,i170007,52.1 (93),0.0 (22),0.0 (15),
749600,Hassan_143_D,51.9 (94),0.0 (22),0.0 (15),
748769,akashali,51.8 (95),0.0 (22),0.0 (15),
749418,Rafsha_028_E,51.7 (96),0.0 (22),0.0 (15),
749025,Armughan_008_A,51.5 (97),0.0 (22),0.0 (15),
749607,Khubaib_247_C,51.0 (98),0.0 (22),0.0 (15),
749299,MeshaFarrukh_048_E,51.0 (98),0.0 (22),0.0 (15),
749752,sajidshah960,50.8 (99),0.0 (22),0.0 (15),
749615,Adeena,50.8 (99),0.0 (22),0.0 (15),
749270,Sabeeh-017-A,50.8 (99),0.0 (22),0.0 (15),
749350,AbdulRehman_357_E,50.7 (100),0.0 (22),0.0 (15),
749730,jahanzaib_203_E,50.0 (101),0.0 (22),0.0 (15),
749643,M_Jahanzaib,50.0 (101),0.0 (22),0.0 (15),
749639,Xurahbeel,50.0 (101),0.0 (22),0.0 (15),
749585,JawadAli,50.0 (101),0.0 (22),0.0 (15),
749588,salik_199_E,50.0 (101),0.0 (22),0.0 (15),
749405,fasih_saeed,50.0 (101),0.0 (22),0.0 (15),
