submission_pk,User,Rank,Score 1,Score 5,Score 10
738319,SreyanGhosh,0.547 (1),0.378 (1),0.692 (1),0.572 (1),
725233,task10test,0.135 (2),0.017 (2),0.265 (2),0.122 (2),
