submission_pk,User,Accuracy,F-score,MRR,MAP
187841,andrew.finch,0.4980 (1),0.8955 (1),0.6266 (1),0.4978 (1),
184111,amirhj,0.3460 (2),0.8600 (2),0.4737 (2),0.3438 (2),
181131,hcs,0.1990 (3),0.8063 (3),0.1990 (3),0.1969 (3),
