submission_pk,User,F1-Bad,F1-Good,F1-Multi
780104,tharindu,0.6862 (1),0.9250 (1),0.6348 (1),
468282,kf,0.6808 (2),0.9175 (2),0.6246 (2),
468262,carolscarton,0.5080 (3),0.8460 (5),0.4298 (3),
479214,junjieh,0.4677 (4),0.8038 (7),0.3759 (4),
479219,junjiehu,0.4677 (4),0.8038 (7),0.3759 (4),
467789,fblain,0.4115 (5),0.8821 (3),0.3630 (5),
470507,mespla,0.3531 (6),0.8080 (6),0.2853 (7),
469124,bicici,0.3300 (7),0.8813 (4),0.2908 (6),
468287,basuprasen,0.2889 (8),0.7547 (8),0.2180 (8),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
780104,tharindu,0.5021 (1),0.9813 (1),0.4927 (1),
470507,mespla,0.3286 (2),0.9619 (3),0.3161 (2),
468262,carolscarton,0.2937 (3),0.9618 (4),0.2824 (3),
469124,bicici,0.2547 (4),0.9764 (2),0.2487 (4),
467789,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
468282,kf,0.0000 (5),0.0000 (5),0.0000 (5),
468287,basuprasen,0.0000 (5),0.0000 (5),0.0000 (5),
479214,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
479219,junjiehu,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
780104,tharindu,0.5813 (1),0.9065 (1),0.5269 (1),
468262,carolscarton,0.4216 (2),0.7989 (3),0.3368 (2),
469124,bicici,0.1650 (3),0.8591 (2),0.1418 (3),
467789,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
468282,kf,0.0000 (4),0.0000 (4),0.0000 (4),
468287,basuprasen,0.0000 (4),0.0000 (4),0.0000 (4),
470507,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
479214,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
479219,junjiehu,0.0000 (4),0.0000 (4),0.0000 (4),
