submission_pk,User,MinDCF,EER
837810,IDVoice,0.0319 (1),0.69 (2),
837796,NeteaseHZAILab,0.0322 (2),0.62 (1),
837126,JTBD,0.0386 (3),0.86 (4),
837699,sgspk,0.0394 (4),0.84 (3),
835420,gbarbadillo,0.0432 (5),0.94 (5),
837353,ieppt,0.0448 (6),1.02 (7),
834085,ib2072,0.0476 (7),0.98 (6),
837395,hanbing97,0.0581 (8),1.23 (8),
836277,gazizullina2010,0.0583 (9),1.26 (9),
835242,RibotOT,0.0668 (10),1.48 (10),
833270,DeepMiner,0.0785 (11),1.80 (11),
827539,GREAT,0.0926 (12),2.14 (13),
827307,wangli,0.1030 (13),1.88 (12),
811149,kwh1990,0.1427 (14),2.75 (14),
824592,zwx,0.1433 (15),3.36 (15),
835508,JungwooHeo,0.1966 (16),4.00 (16),
837649,schaltung,0.2262 (17),5.06 (17),
836268,EureScribe,0.2471 (18),5.32 (18),
834815,DSPLAB,0.3425 (19),7.83 (19),
809083,zhn,0.3518 (20),7.99 (20),
813636,shareef,0.3540 (21),8.57 (21),
770744,sdsvc,0.4318 (22),10.65 (24),
828209,chiaoli,0.4339 (23),10.63 (23),
831645,MMAILAB,0.5113 (24),10.49 (22),
