submission_pk,User,top-1
489187,Xiaojing,0.5106 (1),
482233,Nuanyang,0.5049 (2),
481966,ac5462,0.4431 (3),
482933,Nine_Six,0.3284 (4),
481345,wider,0.1973 (5),
