submission_pk,User,Accuracy
724234,HAL9000,99.04 (1),
724111,rexlee,98.83 (2),
724065,Ericcsr,98.76 (3),
723351,adwithya,98.74 (4),
721585,welvin21,98.73 (5),
716120,MK-42,98.64 (6),
721438,zwyeo,98.63 (7),
724284,zqfoo,98.57 (8),
723793,srijak2,98.47 (9),
724280,yjc3328,98.45 (10),
721806,OceanMan,98.44 (11),
723103,MLE,98.40 (12),
713726,Michael__,98.30 (13),
722021,u3553651,98.28 (14),
724270,oonwy,98.25 (15),
718335,urmom69,98.24 (16),
723741,five,98.22 (17),
721793,lc123,98.22 (17),
724306,sma97,98.20 (18),
724319,gina763842,98.08 (19),
724136,oscar22558,97.58 (20),
721253,pranavt,97.47 (21),
724250,tomlam,97.44 (22),
721348,geyuying,97.16 (23),
724106,bevanvar,96.93 (24),
718595,laprask,96.36 (25),
712827,taiwaiho624,96.02 (26),
710089,kilam,93.06 (27),
