submission_pk,User,score
882645,kjbarker,78.1132 (1),
882615,vivekkalyanHS,73.5283 (2),
882671,lbouscarrat,69.9625 (3),
882575,Jitin,66.4286 (4),
882609,fcelik,2.5830 (5),
