submission_pk,User,score
720736,myaunraitau,0.7728 (1),
720871,zouwuhe,0.7701 (2),
716075,arighosh,0.7694 (3),
719577,qinpersevere,0.7691 (4),
719610,sansansanye,0.7689 (5),
720932,TAL_ML_Group,0.7681 (6),
720818,GuoweiXu,0.7680 (7),
720819,chufenglongwo,0.7679 (8),
720563,Karl.K,0.7678 (9),
720801,whats_your_problem,0.7678 (10),
719734,TabChen,0.7677 (11),
720842,hzlihang99,0.7672 (12),
720857,HIHI,0.7668 (13),
720903,shshen,0.7667 (14),
720767,posanlang,0.7667 (15),
720902,RuiLv,0.7666 (16),
720682,tswsxk,0.7666 (17),
718770,ayehenmang,0.7651 (18),
682901,scott.pu.pennstate,0.7634 (19),
712880,ts17,0.7617 (20),
719584,liutianqiao_2,0.7604 (21),
707117,lukasolson,0.7599 (22),
720839,hojinYang,0.7590 (23),
678161,nirmalpatel,0.7588 (24),
720570,zhuyeu,0.7585 (25),
712270,yingliu666,0.7583 (26),
712086,lulu,0.7573 (27),
720949,CGYR,0.7540 (28),
677695,owruby,0.7536 (29),
720898,huangye,0.7533 (30),
688693,ml4edu.sb,0.7526 (31),
715254,wolfy,0.7483 (32),
705897,usydnlp,0.7463 (33),
673711,lefrank,0.7463 (34),
719231,tsotfsk,0.7448 (35),
718139,fst,0.7414 (36),
670567,carlossouza,0.7405 (37),
674583,senbihan,0.7404 (38),
707466,patty_0802,0.7393 (39),
681041,Raghavan,0.7389 (40),
720747,echoe,0.7388 (41),
683340,abhilash_sri,0.7380 (42),
672986,bchoffin,0.7371 (43),
667970,mariavijiras,0.7371 (44),
668751,mhavasi,0.7369 (45),
716630,tenshow,0.7368 (46),
717868,AnRui,0.7360 (47),
669522,zhuangyan,0.7342 (48),
673940,ak_iyama,0.7335 (49),
685816,Cdumas,0.7314 (50),
717869,Muggleme,0.7312 (51),
714832,kv123,0.7260 (52),
697444,RuiAn,0.7241 (53),
678498,Ethan_Chen,0.7231 (54),
668420,jbp,0.7120 (55),
717993,Jay_KL,0.6975 (56),
666506,summer1111,0.6921 (57),
683748,drcarenhan,0.6916 (58),
699292,carykjim,0.6720 (59),
677099,airocker,0.6720 (59),
674387,wzm,0.6720 (59),
673750,andrea.becsek,0.6720 (59),
668514,aviva,0.6720 (59),
668239,inertia1012,0.6720 (59),
666766,junep89,0.6720 (59),
665309,Toaspotless,0.6720 (59),
661630,bndl22,0.6720 (59),
661314,ajecstatic,0.6720 (59),
660328,SuperResearcher,0.6720 (59),
656619,zzy99,0.6720 (59),
652154,simonwoodhead,0.6720 (59),
651149,anlam,0.6720 (59),
657370,ed101,0.6719 (60),
706521,tbs17,0.6571 (61),
704434,candice1996,0.6430 (62),
701812,yanfu2020,0.5643 (63),
707883,Huisemao,0.4942 (64),
