submission_pk,User,score
720864,tswsxk,0.9600 (1),
720777,whats_your_problem,0.9200 (2),
720657,huangye,0.9200 (2),
720640,TAL_ML_Group,0.9200 (2),
720558,RuiLv,0.9200 (2),
720539,liutianqiao_2,0.9200 (2),
719494,Karl.K,0.9200 (2),
718704,TabChen,0.9200 (2),
720658,hzlihang99,0.8800 (3),
720556,HIHI,0.8800 (3),
719267,myaunraitau,0.8800 (3),
718481,shshen,0.8800 (3),
705212,candice1996,0.8400 (4),
702594,son520804,0.8400 (4),
682801,snhryt,0.8400 (4),
680922,ml4edu.sb,0.8400 (4),
678259,bndl22,0.8400 (4),
719027,ucieducator,0.8000 (5),
718663,GuoweiXu,0.8000 (5),
718459,haoyang,0.8000 (5),
682776,r.raaghul,0.8000 (5),
670718,kakarot,0.8000 (5),
720544,echoe,0.7600 (6),
712842,edtechmuser,0.7600 (6),
708473,carykjim,0.7600 (6),
685575,usydnlp,0.7600 (6),
683054,drcarenhan,0.7600 (6),
682812,simonwoodhead,0.7600 (6),
682811,anlam,0.7600 (6),
682805,quantitative_quokka,0.7600 (6),
682797,aviva,0.7600 (6),
678396,arighosh,0.7600 (6),
661438,xtalclr,0.7600 (6),
682766,senbihan,0.6400 (7),
672982,bchoffin,0.6400 (7),
682822,moonlightlane,0.5600 (8),
684719,sthodla,0.4400 (9),
