submission_pk,User,Log of MAE score
1000881,UncleTed,1.1547688545 (1),
1000548,Tagon,1.1734990202 (2),
1000306,cue,1.1778090471 (3),
1001081,batprem,1.1960261011 (4),
1000297,phatham,1.1985323600 (5),
1000540,ariya23156,1.1993993636 (6),
1000471,Napatnicky,1.2133189665 (7),
1000307,kangkengkhadev,1.2135795502 (8),
1000317,t0p_,1.2139739774 (9),
1000315,Natthaphon.Tac,1.2157786582 (10),
1001164,vikimark,1.2199719373 (11),
1001114,Preawtienj,1.2214208560 (12),
1000603,hairchickenfit,1.2216102114 (13),
1000467,TMLCC0628-nisitpuk,1.2216501002 (14),
1001157,barnrang,1.2222164463 (15),
1001385,TMLCC0118-bphysics,1.2246440090 (16),
1000862,NinoSupremacy,1.2256678263 (17),
1001203,namsarad,1.2277260193 (18),
1000633,Keith12345671,1.2297227002 (19),
1000989,TMLCC0770,1.2306136144 (20),
1001083,Chayapol,1.2314637854 (21),
1001080,newanagata,1.2316048815 (22),
1001107,Acriminal,1.2317812867 (23),
1001448,romrawin,1.2358772042 (24),
1001511,kasidit,1.2364956576 (25),
1000969,Pakcheera,1.2373601147 (26),
1001192,TMLCC0623,1.2409401170 (27),
1001022,Pattama_t,1.2417712875 (28),
1000500,stpayu,1.2435649611 (29),
1001460,kookkikkp,1.2435741287 (30),
1001377,litapi,1.2439417062 (31),
1001415,panatchakorn_a,1.2444469368 (32),
1000571,TMLCC0897,1.2458433404 (33),
1001513,Pinyawat,1.2593006573 (34),
1001339,nyodsin,1.2607131674 (35),
1001177,Pakkawatk,1.2656664181 (36),
1001407,Karn,1.2659787230 (37),
1001312,ChalothornYn,1.2682562436 (38),
1001272,thanaphatlertmo,1.2709239098 (39),
1001198,TMLCC0147,1.2738595911 (40),
1001195,TMLCC0948-sirawizz,1.2770197334 (41),
1001330,Wachi,1.2779144831 (42),
1003980,Shinsuphan,1.2786627404 (43),
1000484,Tarastream,1.2798787867 (44),
1001375,Jirayut,1.2812851572 (45),
1000503,Tak_nb,1.2945291455 (46),
1001502,namirinz,1.3006323258 (47),
1001253,MeenN,1.3010501139 (48),
1001017,paopeaw,1.3027443489 (49),
1000304,phoenix2004,1.3091090408 (50),
1001230,Jiraphat_thongyoo,1.3182101494 (51),
1000566,waritt,1.3197669269 (52),
1001212,LinuxGuy,1.3238027428 (53),
1001475,OrnlyP,1.3291441853 (54),
1000336,tanachote_r,1.3307430677 (55),
1000619,RuffLogix,1.3384981560 (56),
1001307,Varinpond,1.3445096407 (57),
1001138,Pa1,1.3474573274 (58),
1000606,Chayawat,1.3494389222 (59),
1001018,dheerapat,1.3540846540 (60),
1001301,TMLCC092-sarun,1.3720789459 (61),
1001434,TMLCC0332_JameWM,1.3809885512 (62),
1001286,Trin_nithiroj,1.3901085135 (63),
1001314,MooNey,1.4016632143 (64),
1000392,aabbyy,1.4044065993 (65),
1000592,kbd,1.4182077486 (66),
1001130,Glueman,1.4196864968 (67),
1001151,Rattametb,1.4292586567 (68),
1001020,Kasame,1.4597614172 (69),
1001085,Banyaphon,1.4768649759 (70),
1001421,Pattanasak,1.5320924264 (71),
1001336,TMLCC0977,1.5400903559 (72),
1000609,Nooperman,1.6216321405 (73),
1001216,portunwa,1.6641148871 (74),
1001481,PatrickChoDev,1.6994157496 (75),
1001500,thummarat,2.4581960439 (76),
