submission_pk,User,FB1 Average,FB1 Entity,FB1 Surface
452493,changhanwang,71.6154 (1),71.6154 (1),71.6154 (1),
449451,ghht,70.0938 (2),70.0938 (2),70.0938 (2),
451592,jndevanshu,67.4419 (3),67.4419 (3),67.4419 (3),
451881,gentaiscool,66.0410 (4),66.0410 (4),66.0410 (4),
449823,WallyGuzman,65.6207 (5),65.6207 (5),65.6207 (5),
452490,semantic,65.0276 (6),65.0276 (6),65.0276 (6),
447814,gaguilar,62.7084 (7),62.7084 (7),62.7084 (7),
