submission_pk,User,meanAP,APpedestrian,APcyclist,APcar,APtruck,APtram,APtricycle
980549,ineedyou520,66.22 (24),70.10 (27),79.02 (25),82.60 (24),67.90 (24),63.87 (27),33.83 (21),
940381,zhyl,65.47 (25),72.58 (22),79.27 (23),79.31 (30),62.10 (30),62.55 (28),37.00 (16),
954140,wyndy,65.06 (26),70.99 (26),78.49 (28),80.30 (27),63.73 (29),60.60 (33),36.24 (18),
981174,izhik,65.03 (27),62.14 (36),76.82 (30),83.01 (22),66.89 (25),69.20 (22),32.12 (26),
970365,qazmlp,63.97 (28),62.72 (33),79.23 (24),81.22 (26),65.59 (26),67.93 (23),27.13 (35),
955303,dmitrykonovalov,63.88 (29),72.47 (23),78.93 (27),79.43 (29),61.95 (31),60.96 (32),29.56 (31),
958692,jwzds,63.26 (30),72.08 (24),77.03 (29),79.31 (30),63.86 (28),61.08 (31),26.17 (36),
1147014,zhaojiaweii,63.15 (31),63.79 (31),76.38 (32),80.15 (28),64.29 (27),61.39 (29),32.92 (24),
1147794,Ander,61.61 (32),67.27 (28),76.66 (31),76.44 (33),61.39 (32),58.87 (34),29.06 (32),
962480,SouthMaiya,61.02 (33),61.29 (38),75.78 (34),76.16 (34),58.76 (37),61.19 (30),32.96 (23),
956537,qq3394101,60.95 (34),62.68 (34),74.90 (37),77.87 (32),61.01 (34),58.51 (35),30.71 (30),
966514,zrex,59.50 (35),64.79 (30),76.17 (33),76.13 (35),58.43 (38),57.10 (38),24.41 (37),
949094,quantumboi,58.65 (36),63.56 (32),75.07 (36),76.02 (36),57.63 (39),55.28 (39),24.36 (38),
962007,BlackSmithM,58.41 (37),56.69 (41),72.10 (40),77.97 (31),61.25 (33),58.14 (36),24.33 (39),
921439,sslad2021,58.04 (38),61.90 (37),73.40 (39),73.96 (38),57.04 (40),53.85 (40),28.13 (34),
963274,qqqw,57.61 (39),61.01 (39),73.58 (38),75.76 (37),59.58 (35),57.25 (37),18.51 (42),
958182,ycybiubiu,54.98 (40),56.88 (40),71.38 (41),73.88 (39),54.33 (41),52.15 (41),21.28 (40),
939028,nawazia,48.48 (41),52.16 (42),65.87 (42),67.53 (41),46.02 (43),43.79 (43),15.50 (43),
956581,wcy,45.72 (42),35.76 (44),48.27 (45),68.33 (40),53.10 (42),48.98 (42),19.90 (41),
971345,polymathAB,42.58 (43),37.26 (43),56.39 (43),66.95 (42),45.07 (44),38.10 (44),11.70 (44),
981031,kitabung,27.25 (44),13.29 (45),50.62 (44),51.64 (45),27.47 (46),17.26 (47),3.25 (45),
982362,aaasusual,24.83 (45),2.70 (47),42.43 (46),55.20 (44),29.25 (45),19.30 (46),0.09 (46),
970118,b10756041,6.89 (46),9.43 (46),0.67 (47),3.93 (46),7.67 (47),19.62 (45),0.02 (47),
978616,BreSee_A5,0.00 (47),0.00 (48),0.00 (48),0.00 (47),0.00 (48),0.00 (48),0.00 (48),
