submission_pk,User,mIoU
900775,ulosc,0.242315 (1),
900774,afternoon,0.238789 (2),
898764,AIRCAS_DYP,0.229976 (3),
898612,jcvd,0.228675 (4),
900755,LBeumer,0.222191 (5),
900257,madhumita_nayak,0.217610 (6),
900072,fatal69100,0.217149 (7),
900677,kramprabhakar,0.217137 (8),
899794,tqll,0.216475 (9),
899029,seven_,0.216473 (10),
899885,fdasgdsag,0.216469 (11),
899812,baoqianyue,0.215634 (12),
899866,NumberOne,0.215632 (13),
899040,Aryal007,0.196558 (14),
