submission_pk,User,EIoU,mIoU
887652,soeaver,48.2900 (1),79.3200 (1),
887923,DeepBlueAI,46.2400 (2),77.4900 (2),
887585,DISL,43.8700 (3),76.7200 (3),
886815,hzcxq,43.8200 (4),76.4400 (4),
887641,wenhuihan,40.4000 (5),71.1800 (5),
887772,SolarBing,30.1200 (6),56.9400 (7),
886265,jqxx,30.1200 (6),56.9400 (7),
887364,Wayne33,29.8800 (7),57.2400 (6),
883195,LawrenceK,1.6500 (8),4.2100 (8),
