submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397196,zzmmzz,30.597 (1),0.8649 (1),0.500 (7),0.0 (2),0.0 (1),
397624,iorism,30.530 (2),0.8636 (3),1.600 (10),0.0 (2),0.0 (1),
397340,chenyunjin_ULSee,30.520 (3),0.8638 (2),0.140 (2),0.0 (2),0.0 (1),
397031,nicheng,30.499 (4),0.8635 (4),0.228 (5),0.0 (2),0.0 (1),
397153,Heewon,30.182 (5),0.8556 (5),64.920 (17),0.0 (2),0.0 (1),
397360,haoyu.ren,30.037 (6),0.8504 (6),0.450 (6),0.0 (2),0.0 (1),
397549,phunghx,29.507 (7),0.8419 (7),0.920 (8),0.0 (2),0.0 (1),
397633,rosinwang,29.181 (8),0.8299 (10),2.900 (13),0.0 (2),0.0 (1),
397116,useriitg,29.120 (9),0.8326 (9),93.070 (18),1.0 (1),0.0 (1),
397632,lanpa,29.112 (10),0.8360 (8),2.000 (11),0.0 (2),0.0 (1),
397673,sparkfirer,28.625 (11),0.8064 (14),4.130 (14),0.0 (2),0.0 (1),
392708,xjc_faceall,28.583 (12),0.8201 (11),0.150 (3),0.0 (2),0.0 (1),
396751,sonam,27.787 (13),0.8182 (12),4.994 (15),0.0 (2),0.0 (1),
392188,cskzh,27.767 (14),0.8124 (13),0.200 (4),0.0 (2),0.0 (1),
391426,rathorro,25.817 (15),0.7259 (18),0.025 (1),1.0 (1),0.0 (1),
396242,ranarag,25.229 (16),0.7281 (17),1.500 (9),1.0 (1),0.0 (1),
395982,Avijit_IIIT,24.777 (17),0.7687 (15),2.400 (12),1.0 (1),0.0 (1),
397130,hewavithara,23.057 (18),0.7658 (16),7.520 (16),0.0 (2),0.0 (1),
