submission_pk,User,F1-Bad,F1-Good,F1-Multi
777820,tharindu,0.6370 (1),0.9324 (1),0.5939 (1),
472661,junjieh,0.4211 (2),0.8592 (5),0.3618 (2),
468268,carolscarton,0.4155 (3),0.8685 (4),0.3608 (3),
479487,fblain,0.3805 (4),0.9054 (2),0.3445 (4),
469204,bicici,0.3681 (5),0.9044 (3),0.3329 (5),
470508,mespla,0.2707 (6),0.8207 (6),0.2221 (6),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
777820,tharindu,0.2388 (1),0.9865 (1),0.2356 (1),
470508,mespla,0.1478 (2),0.9373 (4),0.1386 (2),
468268,carolscarton,0.1409 (3),0.9679 (3),0.1364 (3),
469204,bicici,0.1298 (4),0.9853 (2),0.1279 (4),
472661,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
479487,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
777820,tharindu,0.5329 (1),0.9279 (1),0.4945 (1),
468268,carolscarton,0.3511 (2),0.8587 (3),0.3015 (2),
469204,bicici,0.1195 (3),0.8917 (2),0.1066 (3),
470508,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
472661,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
479487,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
