submission_pk,User,RuSemShift1 (pre-Soviet:Soviet),RuSemShift2 (Soviet:post-Soviet),RuSemShift3 (pre-Soviet:post-Soviet),Average score
816158,myrachins,0.781 (3),0.803 (1),0.822 (1),0.802 (1),
816510,UsrD7,0.798 (1),0.773 (3),0.803 (2),0.791 (2),
816523,netvad,0.794 (2),0.773 (3),0.799 (3),0.789 (3),
816215,davletov-aa,0.749 (4),0.801 (2),0.788 (4),0.779 (4),
813268,vanyatko,0.678 (5),0.746 (4),0.737 (5),0.720 (5),
814442,aryzhova,0.469 (6),0.450 (5),0.453 (8),0.457 (6),
816315,SyrielleM,0.455 (7),0.410 (6),0.494 (7),0.453 (7),
814260,pribanp,0.362 (10),0.354 (8),0.533 (6),0.417 (8),
816603,dschlechtweg,0.419 (9),0.373 (7),0.383 (11),0.392 (9),
816448,jenskaiser,0.430 (8),0.310 (9),0.406 (9),0.382 (10),
810429,lidia.pivovarova,0.314 (11),0.302 (10),0.381 (12),0.332 (11),
814052,svart,0.163 (14),0.223 (12),0.401 (10),0.262 (12),
816371,BykovDmitrii,0.274 (12),0.202 (13),0.307 (13),0.261 (13),
816630,fdzr,0.217 (13),0.251 (11),0.065 (14),0.178 (14),
816073,DrVenabili,-0.388 (15),-0.281 (14),-0.439 (15),-0.369 (15),
