submission_pk,User,F1,Precision,Recall
1020562,shihanmax,0.90 (1),0.89 (3),0.92 (1),
1017647,LiSiheng,0.89 (2),0.89 (2),0.89 (2),
1019277,WENGSYX,0.86 (3),0.85 (4),0.87 (4),
1019088,nithishkannen,0.86 (4),0.83 (5),0.88 (3),
1019335,fazlfrs,0.83 (5),0.80 (6),0.86 (5),
1015568,uyaseen,0.74 (6),0.75 (8),0.74 (6),
1020017,dipteshkanojia,0.73 (7),0.77 (7),0.69 (7),
1019732,guneetsk99,0.62 (8),0.90 (1),0.48 (8),
