submission_pk,User,mean_acc_all,mean_acc_classes
493000,ZhedongZheng,0.585 (1),0.597 (1),
489291,anonymusua,0.527 (2),0.560 (2),
487330,tkkim93,0.514 (3),0.534 (3),
488803,ttukbaegi3,0.427 (4),0.446 (4),
483652,andreaburns,0.374 (5),0.400 (5),
