submission_pk,User,Accuracy
508396,Nyquist,0.9959 (1),
508422,AFR,0.9956 (2),
508412,SerGiuLu,0.9956 (2),
508410,MartinaC,0.9954 (3),
508424,TheStonks,0.9940 (4),
508395,PartTimeTeam,0.9940 (4),
508394,AndrewD,0.9934 (5),
508389,albi_pagno,0.9934 (5),
508388,Johnn,0.9934 (5),
508414,PHEY,0.9929 (6),
508400,Bazinga,0.9915 (7),
508417,SPM,0.9894 (8),
508425,UniUrboss,0.9833 (9),
508427,Rated-E,0.9462 (10),
508404,SpaceMonkeys,0.6671 (11),
508397,Delu,0.6606 (12),
508428,serendipity,0.3700 (13),
508420,stocastico,0.1693 (14),
508419,ml_s_e,0.1417 (15),
