submission_pk,User,Top-10
595691,aixizhang,0.872082 (1),
595775,NAVER_LINE_Vision,0.854168 (2),
595759,DeepBlueAI,0.848012 (3),
593627,morgan,0.830269 (4),
595773,kekmodel,0.642198 (5),
594844,kmart,0.626977 (6),
595765,JAY-G,0.626251 (7),
594729,hansol,0.594656 (8),
594649,wmyolanda,0.555665 (9),
595711,fong.yq,0.460111 (10),
595768,geyuying,0.266097 (11),
595703,dazcona,0.212185 (12),
595786,jeffgorithm,0.000641 (13),
