submission_pk,User,mIoU
913524,ulosc,0.268386 (1),
891265,afternoon,0.257462 (2),
879939,AIRCAS_DYP,0.248503 (3),
899571,xmj,0.246558 (4),
897611,seven_,0.238782 (5),
897933,NumberOne,0.236540 (6),
897944,tqll,0.236517 (7),
897156,jcvd,0.236103 (8),
895165,baoqianyue,0.235452 (9),
892050,LUT,0.228885 (10),
900070,fatal69100,0.228853 (11),
892834,Aryal007,0.228853 (11),
880046,fdasgdsag,0.228394 (12),
892230,suting,0.061173 (13),
