submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
654810,Minnu,23.6191 (10),0.8650 (9),10.4300 (1),1.0 (1),1.0 (1),
645280,sabarinathan,23.7304 (9),0.8452 (10),0.4300 (4),1.0 (1),1.0 (1),
1139477,kgeorgid,24.1017 (6),0.8657 (8),0.8970 (2),1.0 (1),0.0 (2),
665270,souryadipta,24.0707 (8),0.8756 (5),0.0170 (8),0.0 (2),0.0 (2),
654267,MingQian,24.6116 (4),0.8762 (4),0.3000 (5),0.0 (2),0.0 (2),
648111,prachi_agrawal,20.0701 (11),0.7575 (11),-1.0000 (9),1.0 (1),0.0 (2),
646368,astaurab,24.7417 (2),0.8871 (2),0.2500 (7),0.0 (2),0.0 (2),
644219,tensorcat,24.5026 (5),0.8812 (3),0.0170 (8),0.0 (2),0.0 (2),
629536,q19911124,24.0975 (7),0.8736 (7),0.2700 (6),0.0 (2),0.0 (2),
1147671,kgeorgid2,24.6144 (3),0.8738 (6),0.5260 (3),0.0 (2),-1.0 (3),
654779,xuehuapiaopiao,24.8175 (1),0.8878 (1),-1.0000 (9),-1.0 (3),-1.0 (3),
