submission_pk,User,Total Score,Correct Rate %,Reloc Score,C-ATE RMSE,Input (CDFFI.O),office CR1&30,office reloc
506508,ssssjiang,85.201 (1),88.10 (2),10.512 (1),1.64 (4),10001.0 (4),48.94 (3),3.718 (2)
506477,happyle,79.296 (2),87.93 (3),8.626 (2),1.45 (7),10001.0 (4),50.01 (2),1.994 (4)
506168,FuminPang,76.624 (3),88.12 (1),7.719 (4),1.17 (8),101.1 (6),27.79 (8),0.998 (7)
506306,jinge,64.605 (4),75.42 (4),6.289 (5),1.52 (6),11000.1 (2),36.43 (4),2.451 (3)
503993,bomb_peng,53.606 (5),48.36 (6),7.992 (3),2.02 (3),11000.0 (3),84.47 (1),5.995 (1)
504692,HuanyuWen,46.992 (6),62.99 (5),2.990 (6),2.11 (2),11001.0 (1),27.91 (7),0.999 (6)
506144,LimingCheng,25.867 (7),32.86 (7),1.999 (7),2.57 (1),10000.0 (5),31.42 (5),1.000 (5)
506499,BertaBescos,5.355 (8),3.80 (8),1.000 (8),0.11 (9),11000.0 (3),27.98 (6),1.000 (5)
503995,NPCDNA,2.039 (9),3.40 (9),0.000 (9),1.58 (5),101.1 (6),9.96 (9),0.000 (8)
