submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSD,RMSD,Precision at 50% overlap,Recall at 50% overlap,Precision at >0% overlap,Recall at >0% overlap
Exception parsing scores!
submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSSD,MSSD
474994,jomine,0.9030 (45),0.9220 (42),0.160 (74),0.087 (87),5.528 (178),47.952 (146),9.566 (168),
506980,Liver,0.8990 (46),0.8910 (51),0.177 (78),0.010 (54),5.623 (179),53.993 (153),11.162 (178),
476927,jomine94,0.8980 (47),0.9140 (45),0.166 (76),0.314 (95),6.264 (185),48.871 (149),10.063 (171),
423379,mapi,0.8950 (48),0.9060 (48),0.186 (80),0.172 (93),15.567 (204),255.181 (214),37.456 (209),
1142312,phannghia2306,0.8940 (49),0.9300 (39),0.180 (79),0.034 (75),7.522 (191),73.264 (161),15.432 (187),
535516,nothing,0.8760 (50),0.8700 (53),0.209 (81),0.071 (85),6.461 (186),60.646 (155),12.713 (183),
751838,fengleifan,0.8730 (51),0.8630 (54),0.220 (82),-0.130 (2),8.278 (194),77.635 (162),17.459 (193),
625485,mfu,0.8520 (52),0.8570 (55),0.248 (84),-0.083 (5),9.001 (196),77.717 (163),17.647 (195),
1134231,paveln,0.8500 (53),0.8540 (56),0.254 (85),0.235 (94),5.637 (180),71.926 (159),10.612 (175),
443352,provectus,0.8410 (54),0.8460 (57),0.266 (86),-0.187 (1),39.576 (206),295.018 (219),76.583 (216),
508696,KristinChen,0.8380 (55),0.8810 (52),0.244 (83),-0.117 (3),20.591 (205),115.462 (184),32.154 (207),
496252,yywj,0.3560 (56),0.4210 (58),0.737 (87),3344.959 (106),3351.888 (216),3390.246 (223),3354.072 (222),
525311,kirailol,0.2240 (57),0.2830 (59),0.864 (88),0.075 (86),43.251 (208),202.545 (209),56.628 (212),
662266,xbsj_lichen1,0.1490 (58),0.1710 (60),0.915 (89),0.112 (90),46.360 (209),249.585 (212),63.748 (214),
514690,haobh97,0.0670 (59),0.1100 (61),0.962 (91),33.120 (99),41.488 (207),276.444 (215),65.351 (215),
1060390,yang5715200,0.0640 (60),0.0870 (63),0.963 (92),3183.193 (105),2980.467 (215),3037.799 (222),2984.059 (221),
536848,hci,0.0550 (61),0.1030 (62),0.947 (90),8486.656 (107),8486.735 (217),8489.090 (224),8486.905 (223),
763558,zyt1994,0.0140 (62),0.0230 (64),0.986 (93),8872.414 (108),8872.425 (218),8872.709 (225),8872.441 (224),
1093758,saveW23,0.0010 (63),0.0020 (65),0.999 (94),2420.244 (104),861.017 (214),1000.556 (221),869.497 (220),
1120047,dresta,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
1061895,sunhouse,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
1048254,yang571520,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
977906,marcmr,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
889766,yuhongforever,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
887818,huyentls1114,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
867763,EdwardLiu2,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
857484,huyentls1114,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
834712,cjn_neu,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
833279,sohom21d,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
775561,master512,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
770086,lxq19950101,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
770082,masterL,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
769331,cjn1603,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
768046,lxqlxqlxqlxq,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
738326,jimi,0.0000 (64),0.0000 (66),1.000 (95),160.775 (103),46.720 (210),325.574 (220),59.983 (213),
724598,ChinaLXQ2,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
712978,ls_001,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
712997,ls_002,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
710922,puzzledsky,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
708584,oocorn,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
693204,markba122,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
638434,willy3365,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
623005,poweiwu3364,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
596045,Cerry,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
592995,rorschachxy,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
578224,xihewen,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
544557,viggin,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
535189,polaris,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
504658,yozora,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
494993,le.hou,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
488443,seddik11,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
417736,ChaoweiTan,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
417936,superAI,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
418144,yingyicas,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
418993,mia,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
478527,zmqqqq,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
442523,zxc123,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
461949,peterxhq,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
462006,Tianbao,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
460162,jiafc,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
463767,SurpathMedical,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
467646,cx.Chu,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
470571,cxyjy,0.0000 (64),0.0000 (66),1.000 (95),9001.000 (109),9001.000 (219),9001.000 (226),9001.000 (225),
submission_pk,User,RMSE,Max Error
1082477,DeepwiseAI,0.0110 (1),0.0390 (13),
481395,jaygarrick,0.0110 (1),0.0190 (6),
638524,liuan886,0.0120 (2),0.0410 (15),
633774,liuanqaq,0.0120 (2),0.0420 (16),
1126767,xiatingjian,0.0140 (3),0.0490 (21),
1136710,milan_pepe,0.0140 (3),0.0250 (9),
1133258,user1121,0.0140 (3),0.0500 (22),
969533,zhangkang5,0.0140 (3),0.0490 (21),
719063,sshu,0.0140 (3),0.0480 (20),
623653,NE6084020,0.0140 (3),0.0600 (31),
622959,inovake111,0.0140 (3),0.0490 (21),
516246,MIP_HQU,0.0140 (3),0.0490 (21),
487442,xbsj_ldx0908,0.0140 (3),0.0490 (21),
1114754,wzw001,0.0150 (4),0.0480 (20),
482601,stevelee_001,0.0150 (4),0.0490 (21),
485484,OPLAB,0.0150 (4),0.0550 (27),
484053,easycui,0.0150 (4),0.0490 (21),
424072,xjqi,0.0150 (4),0.0490 (21),
1014066,susu-zc,0.0160 (5),0.0470 (19),
577452,co2020,0.0160 (5),0.0890 (50),
470547,Yong,0.0160 (5),0.0720 (38),
478519,Eric101,0.0160 (5),0.0580 (30),
1123270,newrain0874,0.0170 (6),0.0880 (49),
524236,FabianIsensee,0.0170 (6),0.0490 (21),
524063,TaiwanAILabs,0.0170 (6),0.0320 (10),
1136170,SFC,0.0180 (7),0.0500 (22),
811801,jiangyuhan,0.0180 (7),0.0470 (19),
820689,ssyeqiong,0.0180 (7),0.0500 (22),
725411,CYNSAHZU,0.0180 (7),0.0650 (34),
543449,Zpark,0.0180 (7),0.0220 (8),
530858,wutianxin,0.0180 (7),0.0700 (37),
513979,ashwin,0.0180 (7),0.0490 (21),
503923,huni1115,0.0180 (7),0.0740 (40),
492565,YQ,0.0180 (7),0.0490 (21),
499054,MILab,0.0180 (7),0.0480 (20),
423047,DS,0.0180 (7),0.0540 (26),
439140,EdwardMa,0.0180 (7),0.0690 (36),
478241,peiqi,0.0180 (7),0.0960 (56),
991527,stbk96,0.0190 (8),0.0600 (31),
773362,zhangy,0.0190 (8),0.0480 (20),
614001,michaltau,0.0190 (8),0.1120 (70),
612873,InductiveLearning,0.0190 (8),0.1100 (68),
525305,suibian,0.0190 (8),0.0470 (19),
499301,wgnb,0.0190 (8),0.0540 (26),
482046,mantis_shrimp,0.0190 (8),0.0810 (44),
461276,Njust768,0.0190 (8),0.0740 (40),
477039,Jason0907,0.0190 (8),0.0810 (44),
471562,Jangho_Kwon,0.0190 (8),0.0860 (48),
479788,qpswwww,0.0190 (8),0.0920 (52),
1050296,wanli123,0.0200 (9),0.0600 (31),
1007886,tiffanyliao,0.0200 (9),0.0570 (29),
1010869,lits-seu,0.0200 (9),0.1050 (63),
1010713,mi_ni,0.0200 (9),0.1060 (64),
934569,kangzhang,0.0200 (9),0.0880 (49),
867971,habhangale3,0.0200 (9),0.1010 (60),
539074,NJUMathSeg,0.0200 (9),0.0250 (9),
481138,blackbean,0.0200 (9),0.1140 (72),
504947,schwein,0.0200 (9),0.0540 (26),
503085,ichbinpig,0.0200 (9),0.0540 (26),
459319,summer,0.0200 (9),0.0810 (44),
460897,mercury825,0.0200 (9),0.0810 (44),
1142312,phannghia2306,0.0210 (10),0.1010 (60),
1097297,zaibin222,0.0210 (10),0.1100 (68),
1096621,yangyi,0.0210 (10),0.1100 (68),
1092504,gpushare.com-lsy,0.0210 (10),0.1100 (68),
1042112,Qikui_sigma-RPI,0.0210 (10),0.0980 (58),
1015490,IPVS,0.0210 (10),0.0490 (21),
948795,kangzhang2,0.0210 (10),0.1080 (66),
817744,Bengals,0.0210 (10),0.0470 (19),
767258,iamglitter2626,0.0210 (10),0.0510 (23),
614764,MIPLab_tau,0.0210 (10),0.1080 (66),
606667,miplab,0.0210 (10),0.1090 (67),
591340,zengziyang,0.0210 (10),0.0580 (30),
528592,MengLei1,0.0210 (10),0.0850 (47),
513577,wgznb,0.0210 (10),0.0560 (28),
508696,KristinChen,0.0210 (10),0.0780 (43),
483139,VolumetricAttention,0.0210 (10),0.0420 (16),
474994,jomine,0.0210 (10),0.0750 (41),
469137,maikun,0.0210 (10),0.0480 (20),
478763,wt,0.0210 (10),0.1140 (72),
481100,phil666,0.0210 (10),0.0850 (47),
1140425,harshavengama,0.0220 (11),0.1090 (67),
822840,Submission_Test,0.0220 (11),0.0970 (57),
805698,zyt0111,0.0220 (11),0.0480 (20),
763514,F74046551,0.0220 (11),0.0650 (34),
756175,dfbbdfbbdf,0.0220 (11),0.0940 (54),
687888,whatust,0.0220 (11),0.1110 (69),
644203,hikariCITI,0.0220 (11),0.0620 (32),
495631,Karo,0.0220 (11),0.1140 (72),
493165,yoy,0.0220 (11),0.1140 (72),
480712,BriceRauby,0.0220 (11),0.0980 (58),
466071,KBA,0.0220 (11),0.0980 (58),
479318,about,0.0220 (11),0.1140 (72),
900513,Deepak,0.0230 (12),0.0490 (21),
892604,sxl111222,0.0230 (12),0.0480 (20),
804299,iamglitter26262626,0.0230 (12),0.0520 (24),
522860,qmia,0.0230 (12),0.0550 (27),
514614,LeoZ,0.0230 (12),0.1050 (63),
461145,mabc,0.0230 (12),0.0970 (57),
1116732,yufanhe,0.0240 (13),0.0700 (37),
1006401,yjdst,0.0240 (13),0.0980 (58),
1001075,xtqzcm,0.0240 (13),0.1140 (72),
868391,Shrijeet162,0.0240 (13),0.0830 (46),
838029,issnus,0.0240 (13),0.0850 (47),
829082,citrus,0.0240 (13),0.0720 (38),
761152,da_lao_dai_dai_w,0.0240 (13),0.0970 (57),
757247,YongtaoZhang1994,0.0240 (13),0.1020 (61),
686496,Amethy24,0.0240 (13),0.1390 (80),
660253,liver_seg,0.0240 (13),0.0100 (5),
564859,moewie94,0.0240 (13),0.1090 (67),
535141,dw,0.0240 (13),0.0480 (20),
528634,SMC_QMIA,0.0240 (13),0.0360 (11),
510406,dawn,0.0240 (13),0.1140 (72),
1110519,dongy,0.0250 (14),0.0680 (35),
1067953,lab1119wang,0.0250 (14),0.0730 (39),
1058038,yuenting,0.0250 (14),0.0920 (52),
1014663,minimini,0.0250 (14),0.1140 (72),
986622,Sworden,0.0250 (14),0.1080 (66),
922384,dzerzhinski01,0.0250 (14),0.1130 (71),
886762,sxlzzz,0.0250 (14),0.0480 (20),
752108,stray_dove,0.0250 (14),0.1100 (68),
649973,mumu_all,0.0250 (14),0.0100 (5),
566100,a7777777,0.0250 (14),0.1020 (61),
540131,hongki,0.0250 (14),0.1280 (77),
535329,nauxuil,0.0250 (14),0.1180 (73),
524867,HQU_MIP,0.0250 (14),0.1140 (72),
488331,MengLei,0.0250 (14),0.0820 (45),
507623,mcmong,0.0250 (14),0.0570 (29),
499323,Jonelxg,0.0250 (14),0.1000 (59),
476927,jomine94,0.0250 (14),0.1260 (76),
432226,MEDDIIR,0.0250 (14),0.0930 (53),
481173,hyukist,0.0250 (14),0.1100 (68),
1147816,yc1189763,0.0260 (15),0.0950 (55),
1140976,withSpicy1207,0.0260 (15),0.0730 (39),
1138893,yuxin9310,0.0260 (15),0.0900 (51),
1113341,YangKe_Mind,0.0260 (15),0.1140 (72),
1066017,steven1,0.0260 (15),0.1140 (72),
833400,qqyyhh,0.0260 (15),0.1060 (64),
604330,davidlinhl,0.0260 (15),0.0820 (45),
567723,apple2020,0.0260 (15),0.1020 (61),
497323,Jarvis73,0.0260 (15),0.0500 (22),
859089,Shrijeet16,0.0270 (16),0.0690 (36),
834613,MultiProvider06,0.0270 (16),0.0360 (11),
827866,anonymous_submission,0.0270 (16),0.0720 (38),
655389,VincentHan,0.0270 (16),0.1220 (74),
587781,hhhh,0.0270 (16),0.1140 (72),
510189,fight_seg,0.0270 (16),0.0970 (57),
531894,SZU512,0.0280 (17),0.1460 (83),
498489,Yiwei,0.0280 (17),0.1280 (77),
1127990,lbzeng,0.0290 (18),0.1030 (62),
1119701,GraylightImaging,0.0290 (18),0.0200 (7),
494521,JingZhen,0.0290 (18),0.0050 (4),
469780,giriWardhana,0.0290 (18),0.1010 (60),
1147638,talkingHappy5566,0.0300 (19),0.0810 (44),
902161,sxl111666,0.0300 (19),0.0510 (23),
630884,kartmannXu,0.0300 (19),0.0540 (26),
606190,styer,0.0310 (20),0.1290 (78),
443813,ED2018,0.0310 (20),0.0530 (25),
1134061,taojlu,0.0320 (21),0.1560 (85),
829741,MultiProvider01,0.0320 (21),0.0100 (5),
910997,fthielke,0.0330 (22),0.1400 (81),
618693,vic85821,0.0330 (22),0.1450 (82),
424062,mahendrakhened,0.0330 (22),0.0400 (14),
437042,ken_rowe,0.0330 (22),0.1070 (65),
471574,WorldCup,0.0330 (22),0.1900 (90),
885550,sxlxxx,0.0350 (23),0.0450 (18),
513414,michal_heker,0.0350 (23),0.0980 (58),
539684,q1551534891,0.0360 (24),0.1140 (72),
784328,HongruLi,0.0370 (25),0.1550 (84),
490366,Neymo,0.0370 (25),0.0500 (22),
423379,mapi,0.0370 (25),0.1790 (88),
438042,black_sesame,0.0370 (25),0.1240 (75),
969391,zzzzz4,0.0380 (26),0.1970 (92),
970096,zzzzzzzzzzzz1,0.0380 (26),0.2150 (95),
933947,R3D,0.0380 (26),0.1300 (79),
914210,aha_Zeng,0.0380 (26),0.2090 (94),
864419,logic,0.0380 (26),0.0700 (37),
734625,yangd05,0.0380 (26),0.0620 (32),
753234,qiuyh,0.0390 (27),0.0560 (28),
952178,Ritz,0.0400 (28),0.1940 (91),
916987,kangzhang1,0.0400 (28),0.1580 (86),
1146933,Nano_Cat,0.0410 (29),0.1690 (87),
535516,nothing,0.0410 (29),0.1980 (93),
662266,xbsj_lichen1,0.0420 (30),0.0780 (43),
1076196,ulrich,0.0430 (31),0.0490 (21),
485374,Namho,0.0430 (31),0.0640 (33),
1106019,gsh554710917,0.0440 (32),0.1030 (62),
592570,zhuoshen,0.0450 (33),0.3500 (102),
489271,xyang,0.0450 (33),0.1900 (90),
465843,xubaoquan33,0.0470 (34),0.1820 (89),
1134231,paveln,0.0490 (35),0.2250 (96),
483869,ChiSaw,0.0490 (35),0.2470 (98),
953206,SD,0.0520 (36),0.2270 (97),
824688,Jiaming,0.0620 (37),0.1000 (59),
492147,tuongvi_cnu,0.0640 (38),0.2850 (100),
499705,zhengzhihua,0.0650 (39),0.2850 (100),
506980,Liver,0.0710 (40),0.0760 (42),
785914,qqqyyy,0.0740 (41),0.1300 (79),
488378,Namo,0.0830 (42),0.0370 (12),
462599,kikikirai,0.0880 (43),0.3500 (102),
1035149,litslsy11,0.0890 (44),0.3500 (102),
978203,hrbustWH402,0.0890 (44),0.3500 (102),
971522,Jonty,0.0890 (44),0.3500 (102),
931319,HUSTWH402,0.0890 (44),0.3500 (102),
897639,ivanshih,0.0890 (44),0.3500 (102),
670301,ZhangH,0.0890 (44),0.3500 (102),
659964,puhzfeix591,0.0890 (44),0.3500 (102),
751838,fengleifan,0.0890 (44),0.3500 (102),
734066,jjx,0.0890 (44),0.3500 (102),
721949,lxqlxqlxq,0.0890 (44),0.3500 (102),
673539,Zhang123,0.0890 (44),0.3500 (102),
627049,willy3364,0.0890 (44),0.3500 (102),
547269,umathran,0.0890 (44),0.3500 (102),
525311,kirailol,0.0890 (44),0.3500 (102),
514690,haobh97,0.0890 (44),0.3500 (102),
508128,ChinaLXQ,0.0890 (44),0.3500 (102),
498055,Annoybird,0.0890 (44),0.3500 (102),
496709,Franc1s,0.0890 (44),0.3500 (102),
443352,provectus,0.0890 (44),0.3500 (102),
458417,kirai,0.0890 (44),0.3500 (102),
460269,kirakirai,0.0890 (44),0.3500 (102),
467719,JCD,0.0890 (44),0.3500 (102),
470326,legendhua,0.0890 (44),0.3500 (102),
469721,kirararai,0.0890 (44),0.3500 (102),
863808,u17ec115,0.1240 (45),0.0810 (44),
625485,mfu,0.1820 (46),0.0980 (58),
738326,jimi,0.4600 (47),0.2520 (99),
496252,yywj,0.6140 (48),0.1140 (72),
536848,hci,0.9230 (49),0.0040 (3),
763558,zyt1994,0.9460 (50),0.0000 (2),
1120047,dresta,0.9530 (51),-0.6500 (1),
1061895,sunhouse,0.9530 (51),-0.6500 (1),
857484,huyentls1114,0.9530 (51),-0.6500 (1),
834712,cjn_neu,0.9530 (51),-0.6500 (1),
770086,lxq19950101,0.9530 (51),-0.6500 (1),
724598,ChinaLXQ2,0.9530 (51),-0.6500 (1),
712978,ls_001,0.9530 (51),-0.6500 (1),
712997,ls_002,0.9530 (51),-0.6500 (1),
710922,puzzledsky,0.9530 (51),-0.6500 (1),
708584,oocorn,0.9530 (51),-0.6500 (1),
638434,willy3365,0.9530 (51),-0.6500 (1),
578224,xihewen,0.9530 (51),-0.6500 (1),
544557,viggin,0.9530 (51),-0.6500 (1),
535189,polaris,0.9530 (51),-0.6500 (1),
488443,seddik11,0.9530 (51),-0.6500 (1),
418144,yingyicas,0.9530 (51),-0.6500 (1),
418993,mia,0.9530 (51),-0.6500 (1),
461949,peterxhq,0.9530 (51),-0.6500 (1),
460162,jiafc,0.9530 (51),-0.6500 (1),
463767,SurpathMedical,0.9530 (51),-0.6500 (1),
467646,cx.Chu,0.9530 (51),-0.6500 (1),
470571,cxyjy,0.9530 (51),-0.6500 (1),
594413,xiaoyan,1075.8120 (52),0.0440 (17),
951180,Pieterj4n,1075.8220 (53),0.0500 (22),
1093758,saveW23,1075.8230 (54),0.3490 (101),
653343,muyaAI3713,1075.8240 (55),0.0510 (23),
889766,yuhongforever,1075.8260 (56),-0.6500 (1),
770082,masterL,1075.8260 (56),-0.6500 (1),
768046,lxqlxqlxqlxq,1075.8260 (56),-0.6500 (1),
623005,poweiwu3364,1075.8260 (56),-0.6500 (1),
494993,le.hou,1075.8260 (56),-0.6500 (1),
478527,zmqqqq,1075.8260 (56),-0.6500 (1),
417736,ChaoweiTan,1521.4460 (57),-0.6500 (1),
867763,EdwardLiu2,1521.4470 (58),-0.6500 (1),
775561,master512,1521.4470 (58),-0.6500 (1),
596045,Cerry,1521.4470 (58),-0.6500 (1),
504658,yozora,1521.4470 (58),-0.6500 (1),
417936,superAI,1521.4470 (58),-0.6500 (1),
1060390,yang5715200,1863.3840 (59),-0.6500 (1),
1048254,yang571520,1863.3840 (59),-0.6500 (1),
977906,marcmr,1863.3840 (59),-0.6500 (1),
887818,huyentls1114,1863.3840 (59),-0.6500 (1),
693204,markba122,1863.3840 (59),-0.6500 (1),
462006,Tianbao,2405.6120 (60),-0.6500 (1),
833279,sohom21d,2405.6180 (61),-0.6500 (1),
769331,cjn1603,2405.6180 (61),-0.6500 (1),
592995,rorschachxy,2405.6180 (61),-0.6500 (1),
442523,zxc123,2635.2220 (62),-0.6500 (1),
